Date,camping0T1,camping0T2,camping0T3,camping0T2P,camping1T1,camping1T2,camping1T3,camping1T2P,camping2T1,camping2T2,camping2T3,camping2T2P,camping3T1,camping3T2,camping3T3,camping3T2P,camping4T1,camping4T2,camping4T3,camping4T2P,camping5T1,camping5T2,camping5T3,camping5T2P,camping6T1,camping6T2,camping6T3,camping6T2P,camping7T1,camping7T2,camping7T3,camping7T2P,camping8T1,camping8T2,camping8T3,camping8T2P,entrance0T1,entrance0T2,entrance0T3,entrance0T4,entrance0T5,entrance0T6,entrance1T1,entrance1T2,entrance1T3,entrance1T4,entrance1T5,entrance1T6,entrance2T1,entrance2T2,entrance2T3,entrance2T4,entrance2T5,entrance2T6,entrance3T1,entrance3T2,entrance3T3,entrance3T4,entrance3T5,entrance3T6,entrance4T1,entrance4T2,entrance4T3,entrance4T4,entrance4T5,entrance4T6,gate0T2P,gate1T2P,gate2T2P,gate3T4,gate3T2P,gate4T2P,gate5T4,gate5T2P,gate6T4,gate6T2P,gate7T2P,gate8T2P,general-gate0T1,general-gate0T2,general-gate0T3,general-gate0T2P,general-gate1T1,general-gate1T2,general-gate1T3,general-gate1T4,general-gate1T5,general-gate1T6,general-gate1T2P,general-gate2T1,general-gate2T2,general-gate2T3,general-gate2T4,general-gate2T5,general-gate2T6,general-gate2T2P,general-gate3T1,general-gate3T2,general-gate3T3,general-gate3T2P,general-gate4T1,general-gate4T2,general-gate4T3,general-gate4T4,general-gate4T5,general-gate4T6,general-gate4T2P,general-gate5T1,general-gate5T2,general-gate5T3,general-gate5T4,general-gate5T5,general-gate5T6,general-gate5T2P,general-gate6T1,general-gate6T2,general-gate6T3,general-gate6T2P,general-gate7T1,general-gate7T2,general-gate7T3,general-gate7T4,general-gate7T5,general-gate7T6,general-gate7T2P,ranger-baseT2P,ranger-stop0T1,ranger-stop0T2,ranger-stop0T3,ranger-stop0T4,ranger-stop0T5,ranger-stop0T6,ranger-stop0T2P,ranger-stop1T1,ranger-stop1T2P,ranger-stop2T1,ranger-stop2T2,ranger-stop2T3,ranger-stop2T4,ranger-stop2T5,ranger-stop2T6,ranger-stop2T2P,ranger-stop3T4,ranger-stop3T2P,ranger-stop4T2P,ranger-stop5T2P,ranger-stop6T4,ranger-stop6T2P,ranger-stop7T2P
15-Jun-16,3,,2,,,2,,,8,3,5,,6,4,2,,11,2,3,,8,5,6,,8,4,3,2,12,2,,,10,4,3,1,10,9,4,1,2,1,13,8,6,,3,,21,10,8,1,6,1,26,17,8,4,5,,18,10,2,2,2,,,,2,2,4,2,2,5,2,5,4,8,,1,,,43,22,14,1,6,1,3,43,22,14,1,6,1,3,3,1,1,1,26,11,12,,3,,3,26,12,5,3,1,,6,12,2,,,41,20,19,,3,,5,8,43,22,14,1,6,1,5,,2,43,22,14,1,6,1,4,2,4,6,2,2,6,4
15-Jun-17,2,6,2,,,,,,8,4,2,,6,2,5,,8,3,3,,9,5,2,,6,1,1,,11,2,3,,17,4,2,,6,7,5,2,,2,19,8,6,1,1,,18,8,1,,,2,29,9,9,1,2,1,15,7,5,1,1,1,,,,,,,,,,,,2,,,,,39,16,10,1,1,3,,39,16,10,1,1,3,2,4,,,,23,14,8,1,,,,22,9,7,1,1,1,2,11,2,3,,37,20,15,1,1,,,2,39,16,10,1,1,3,3,,,39,16,10,1,1,3,2,,,,,,,
15-Jun-18,1,2,2,,,,,,8,7,2,,3,5,5,,10,2,3,,4,7,4,,3,2,6,,6,6,2,,10,2,2,1,15,12,5,1,,,11,13,6,2,1,1,13,15,10,1,3,1,24,10,4,5,1,1,8,7,5,2,3,1,,,,,2,2,,2,,,,2,,,,,30,16,11,3,2,2,,30,16,11,3,2,2,,1,1,,1,19,17,12,,1,1,,17,7,7,2,1,1,1,6,6,2,,31,26,16,2,1,1,,2,30,16,11,3,2,2,,,,30,16,11,3,2,2,,,2,,2,,2,
15-Jun-19,3,5,3,,2,,,,6,3,1,,9,5,3,,12,5,3,,9,4,8,,10,9,1,,4,2,,,12,5,2,1,12,6,7,2,,,17,9,6,1,2,1,8,11,2,,2,,18,16,11,1,,,19,10,5,2,2,1,,,,,4,2,,4,,2,2,6,1,,,,34,17,10,2,2,1,2,34,17,10,2,2,1,2,1,1,,1,27,8,12,1,2,1,2,25,13,6,2,1,1,5,4,2,,,38,19,21,1,2,1,2,6,34,17,10,2,2,1,3,,,34,17,10,2,2,1,3,,4,2,2,,4,2
15-Jun-20,8,7,1,,,,,,7,9,1,,11,1,5,,10,5,2,2,10,6,4,,9,6,3,,10,,1,,8,7,7,2,15,14,10,1,1,1,12,9,5,,,4,25,10,9,,,1,22,13,9,1,,1,20,15,8,1,1,1,,,2,,4,6,,8,,6,4,5,,,,,43,28,16,1,1,2,2,43,28,16,1,1,2,2,3,1,2,2,34,24,10,1,,3,2,24,17,10,1,1,1,3,10,,1,,49,31,16,1,,4,7,5,43,28,16,1,1,2,3,,2,43,28,16,1,1,2,3,,4,4,6,,9,4
15-Jun-21,6,5,1,,6,,,,3,6,1,,6,4,5,,14,6,4,,8,11,4,2,17,2,4,2,6,2,2,,13,4,3,4,21,6,7,1,,1,23,8,9,3,,1,16,11,10,1,,,28,11,14,1,,,17,9,5,1,,,,,,,,2,,2,,2,,9,5,,,,51,22,16,2,,,4,51,22,16,2,,,6,,1,1,,34,25,9,1,,1,4,30,11,7,1,,,9,6,2,2,,47,34,16,2,,1,6,9,51,22,16,2,,,8,,,51,22,16,2,,,6,,,4,2,,2,
15-Jun-22,3,4,3,,2,,,,6,6,1,,9,1,4,,8,8,4,,15,5,5,2,4,5,2,,5,5,3,4,12,6,4,,11,14,7,1,,,15,8,5,4,1,,11,9,7,3,1,,25,13,12,3,1,,16,11,6,3,1,,,,,,,4,,4,,4,,4,1,,,,32,24,10,4,2,,,32,24,10,4,2,,,2,2,2,,26,21,8,3,1,,,17,17,5,2,1,,,5,5,3,4,48,28,17,4,1,,4,4,32,24,10,4,2,,,,,32,24,10,4,2,,,,,2,4,,4,
15-Jun-23,7,,3,2,9,,,,8,4,2,,13,7,1,2,5,5,2,,9,6,7,,3,5,6,,6,2,,,7,8,,3,16,11,4,1,,,10,11,5,3,4,,19,11,6,3,1,,23,10,4,2,4,,11,14,11,1,2,,4,4,,,4,2,,5,,3,2,8,7,,,,39,22,11,4,3,,3,39,22,11,4,3,,3,1,2,,1,33,22,13,2,1,,,16,16,10,1,2,,6,6,2,,,48,28,16,3,3,,,8,39,22,11,4,3,,5,,,39,22,11,4,3,,4,,4,,2,,5,2
15-Jun-24,10,6,1,,2,,,,6,8,4,,4,2,2,,8,6,3,,12,3,8,,7,3,9,,8,2,4,,11,7,2,,21,8,6,2,2,,16,13,10,1,,,13,15,9,2,,3,29,10,14,2,,,17,13,6,1,1,3,,,2,,,2,,2,,2,2,2,2,,,,36,28,20,1,1,,,36,28,20,1,1,,,2,1,1,,31,24,14,1,1,,,22,12,13,,1,,,8,2,4,,47,30,22,1,1,,2,2,36,28,20,1,1,,,,2,36,28,20,1,1,,,,,,2,,2,2
15-Jun-25,5,2,1,,2,2,,,6,8,,2,14,4,1,,5,9,2,,15,6,7,,9,5,6,,7,2,6,,2,2,4,2,16,13,9,2,1,3,14,4,2,1,,,13,12,3,1,,3,17,8,8,2,1,1,20,12,7,2,,1,,,2,2,6,4,2,6,2,6,4,5,,1,,,36,23,18,3,,4,2,36,23,18,3,,4,2,,1,,2,32,20,9,1,,,2,28,12,15,4,,1,6,7,2,6,,46,27,12,1,,,5,5,36,23,18,3,,4,3,,2,36,23,18,3,,4,3,2,6,2,4,2,7,4
15-Jun-26,6,5,3,,,,,,5,3,1,,4,2,1,,6,7,4,,15,7,7,,11,9,1,,10,1,3,,9,6,2,1,18,8,8,,,,16,11,6,2,,,13,16,7,5,1,,14,9,3,1,2,,14,12,4,2,3,,,,2,,2,2,,2,,2,2,3,,,,,36,21,11,3,2,,2,36,21,11,3,2,,2,1,3,,1,32,22,15,2,,,2,24,15,6,,2,,3,10,1,3,,43,28,18,2,,,3,3,36,21,11,3,2,,3,,2,36,21,11,3,2,,3,,2,2,2,,3,2
15-Jun-27,6,4,5,,,,,,8,3,,,12,2,3,,15,8,1,,11,6,4,,4,5,2,,6,1,,,12,7,3,1,22,8,4,2,1,4,17,4,4,2,1,4,12,10,5,3,,,24,16,12,1,,1,23,11,3,,,1,,,,,6,2,,6,,4,4,8,,,,,39,21,9,1,,1,,39,21,9,1,,1,2,2,2,,1,41,12,7,2,1,3,,24,11,2,,,1,7,6,1,,,55,22,15,2,1,4,,8,39,21,9,1,,1,2,,,39,21,9,1,,1,,,6,,2,,6,4
15-Jun-28,2,,3,,4,6,,,6,10,,,12,2,2,,9,4,2,,11,8,11,,8,4,4,,2,,4,2,8,5,5,2,13,8,7,1,1,,9,6,9,3,,2,14,8,6,2,1,,18,10,10,1,2,1,16,12,9,1,,1,,,2,,6,4,,4,,2,2,8,3,5,,,28,21,16,3,1,1,4,28,21,16,3,1,1,4,3,1,2,2,25,21,12,2,,1,4,16,11,12,1,,1,8,2,,4,2,37,26,18,3,,2,5,8,28,21,16,3,1,1,6,,2,28,21,16,3,1,1,6,,6,4,4,,5,2
15-Jun-29,7,8,6,,,,,,7,5,,,4,5,5,,14,7,3,,20,7,5,,8,1,2,,9,2,9,,10,4,5,,9,14,8,3,1,,13,7,7,3,,1,24,8,8,,2,1,27,16,8,1,2,,16,13,6,1,1,,,,,,2,,,2,,2,2,2,,,,,41,20,20,1,3,1,,41,20,20,1,3,1,,1,,1,,35,21,17,2,,1,,21,13,13,1,1,,2,9,2,9,,56,34,20,3,,1,,2,41,20,20,1,3,1,,,,41,20,20,1,3,1,,,2,,,,2,2
15-Jun-30,10,7,5,,,,,,4,4,1,,8,7,1,,11,4,1,,7,5,4,,13,5,,,4,5,1,,6,5,6,2,17,10,3,1,1,,15,8,6,1,,,15,10,7,1,1,,18,17,6,1,,,14,19,5,2,,,,,2,,4,4,,4,,2,2,4,,,,,36,24,9,1,1,,2,36,24,9,1,1,,2,1,,3,2,32,18,8,,,,2,20,16,6,1,,,4,4,5,1,,46,28,12,1,,,3,4,36,24,9,1,1,,3,,2,36,24,9,1,1,,3,,4,2,4,,5,2
15-Jul-01,8,8,2,,5,,,,12,3,4,,16,4,4,,15,9,1,,15,7,6,,7,6,5,,9,8,8,,6,6,5,,24,14,12,2,1,,14,7,11,5,2,,23,17,12,,1,2,25,10,9,1,1,3,19,10,11,2,1,2,,,2,,,,,2,,2,,4,3,,,,45,31,21,2,2,3,2,45,31,21,2,2,3,2,,,1,,43,30,14,4,1,,2,23,13,17,2,1,2,2,9,8,8,,61,35,21,5,2,,4,4,45,31,21,2,2,3,3,,4,45,31,21,2,2,3,3,,,2,,,2,
15-Jul-02,10,2,3,,2,,,,9,5,3,,8,2,1,,12,4,2,,10,11,3,,9,2,3,,8,6,1,,11,16,3,2,21,12,7,1,1,1,16,14,4,2,1,,22,14,5,1,,,23,21,3,2,,1,25,16,6,,2,1,,,2,,2,,,4,,4,2,4,,,,,48,36,8,1,2,2,,48,36,8,1,2,2,,1,3,1,,40,22,11,1,1,,,29,21,4,,2,1,4,8,6,1,,55,34,14,2,1,,2,4,48,36,8,1,2,2,,,4,48,36,8,1,2,2,,,2,,,,5,2
15-Jul-03,14,5,9,,,,2,,16,9,3,,21,11,6,,10,6,7,,20,12,7,,11,12,6,,4,4,4,,16,12,6,2,23,21,6,1,,2,23,14,10,3,1,1,32,13,17,1,3,,30,13,16,3,3,1,26,22,11,2,3,,,,,,4,4,,4,,,,4,,,1,,64,37,22,3,4,,,64,37,22,3,4,,,4,1,3,2,63,38,19,2,1,1,,33,26,12,2,2,,2,4,4,4,,86,49,33,3,1,1,,4,64,37,22,3,4,,,,,64,37,22,3,4,,,,4,,4,,4,
15-Jul-04,6,9,3,,,,,,26,8,3,,10,8,7,,16,15,9,,24,11,9,,7,4,5,,12,5,3,,15,11,5,2,21,18,13,2,2,,24,15,8,2,2,,28,17,13,,1,,26,20,13,1,1,,27,22,10,3,2,,,,4,,4,4,,4,,4,4,4,,,,,63,41,25,3,3,,4,63,41,25,3,3,,4,1,3,1,2,59,44,22,,1,,4,34,24,11,3,2,,6,12,5,3,,83,58,28,,2,,6,4,63,41,25,3,3,,6,,4,63,41,25,3,3,,6,,4,4,4,,6,4
15-Jul-05,12,5,2,,5,2,,,18,1,8,2,15,6,8,,18,13,5,,22,16,9,,20,13,7,,5,1,5,,23,10,10,,29,17,9,2,4,,26,13,9,1,,,31,15,13,2,4,1,44,16,13,2,3,1,24,17,17,3,3,,,,,,2,,,4,,4,,6,3,2,,,64,46,29,3,7,1,2,64,46,29,3,7,1,2,4,2,2,,55,33,23,1,,,2,33,27,18,2,3,,4,5,1,5,,86,42,33,1,,,6,6,64,46,29,3,7,1,3,,,64,46,29,3,7,1,3,,2,4,,,4,
15-Jul-06,5,6,1,,1,,,,8,7,3,,11,11,4,,14,8,6,,11,14,8,,11,2,7,,7,5,6,2,4,5,3,,20,10,8,2,2,,17,5,10,1,2,,18,17,8,2,6,,22,21,13,1,1,,19,19,7,2,3,,1,1,2,,,,,1,,1,,2,,,,,42,38,23,2,3,,1,42,38,23,2,3,,1,1,1,,,35,32,14,1,1,,,28,22,14,1,,,1,7,5,6,2,53,45,24,1,2,,1,2,42,38,23,2,3,,2,,2,42,38,23,2,3,,1,,,,,,2,
15-Jul-07,9,1,4,,2,2,2,,12,4,6,,13,9,3,,11,9,4,,11,10,2,,14,8,5,,4,3,7,,16,6,7,2,19,12,10,,2,,14,14,7,3,2,1,23,13,6,1,1,1,29,17,8,3,,,21,11,13,3,1,,,,,2,2,,2,6,2,6,4,6,,1,2,,52,33,22,2,2,1,,52,33,22,2,2,1,,3,,2,,41,24,15,2,2,1,,25,19,16,4,1,,4,4,3,7,,55,39,19,3,2,1,2,6,52,33,22,2,2,1,,,,52,33,22,2,2,1,,2,2,2,,2,6,4
15-Jul-08,7,3,5,,6,,,,12,4,11,,9,5,4,,7,5,5,,12,14,11,,15,5,4,,13,4,5,,7,13,7,2,17,8,11,1,,,15,12,15,1,1,,32,11,13,2,1,1,24,19,10,1,,,24,18,13,1,,1,,,,,4,4,,6,,2,2,6,4,,,,51,35,24,3,1,,,51,35,24,3,1,,,,3,1,2,33,25,24,1,1,,,26,25,14,1,,,2,13,4,5,,47,38,34,1,1,,,6,51,35,24,3,1,,,,,51,35,24,3,1,,,,4,,4,,7,2
15-Jul-09,6,6,1,,,2,,,17,7,8,,5,2,6,,17,5,4,,23,3,5,,10,3,4,,14,13,3,,11,10,7,,16,8,7,1,1,,17,8,13,2,1,1,18,10,7,2,,1,35,23,16,1,1,,25,15,5,2,1,2,,,,,,,,2,,2,2,2,,1,,,42,31,24,4,1,1,,42,31,24,4,1,1,,3,1,1,,38,16,20,2,1,1,,26,16,12,2,1,1,,14,13,3,,66,26,30,2,1,1,,2,42,31,24,4,1,1,,,,42,31,24,4,1,1,,,,,,,2,2
15-Jul-10,4,4,3,2,2,2,,,9,8,7,,13,12,1,,16,11,7,,14,18,9,,19,6,2,,10,8,3,,13,14,1,,26,22,7,2,2,,32,8,7,2,2,1,28,19,10,3,3,1,34,24,12,1,,2,22,25,5,6,3,2,1,1,2,,,,,2,,2,2,2,2,1,,,56,46,15,3,2,3,,56,46,15,3,2,3,,5,2,,,35,42,15,2,2,1,,35,30,8,3,1,2,,10,8,3,,55,57,25,2,2,1,1,2,56,46,15,3,2,3,,12,2,56,46,15,3,2,3,,,,,,,2,2
15-Jul-11,8,3,2,,,,,,20,5,1,,17,7,6,,24,7,7,,15,12,11,,17,8,1,,11,13,7,,28,13,5,2,26,8,7,4,1,,34,13,10,3,4,,37,26,15,1,3,,38,27,10,2,2,,31,12,10,2,4,,,,2,,8,4,,6,,4,4,7,,,,,80,50,18,3,7,,2,80,50,18,3,7,,1,4,2,2,2,65,32,16,2,4,,2,44,23,10,2,4,,7,11,13,7,,89,44,23,3,4,,3,7,80,50,18,3,7,,2,,2,80,50,18,3,7,,3,,8,2,4,,7,4
15-Jul-12,5,3,4,,2,,,,18,5,10,,10,5,5,,9,5,8,,16,11,10,,14,9,11,,20,8,2,2,12,5,7,,23,9,17,3,1,1,19,15,10,,1,1,38,14,14,3,,,26,16,13,2,,1,28,13,11,2,,1,,,,,,,,1,,1,,3,1,,,,66,35,33,3,,1,1,66,35,33,3,,1,2,3,1,,,59,28,29,,1,1,1,38,21,16,1,,1,2,20,8,2,2,73,40,39,,1,1,2,3,66,35,33,3,,1,2,,,66,35,33,3,,1,2,,,2,,,2,
15-Jul-13,10,3,1,,2,,2,,6,5,3,,9,7,2,,17,12,5,,14,10,8,,10,6,1,,7,4,1,,17,8,6,1,21,14,8,3,2,,12,13,9,4,3,1,25,9,4,3,3,2,31,25,10,2,2,1,27,16,6,3,,,,,,,2,2,,2,,,,4,,,1,,52,35,16,6,3,2,2,52,35,16,6,3,2,2,2,1,,1,45,24,9,4,2,1,2,29,20,7,3,,,3,7,4,1,,63,42,18,4,3,1,2,4,52,35,16,6,3,2,3,,,52,35,16,6,3,2,3,,2,2,2,,2,
15-Jul-14,7,3,4,,2,,2,,8,,2,,10,4,3,,11,7,3,,7,7,8,,13,5,5,,9,5,2,,12,4,6,,17,8,8,4,4,,17,8,7,6,4,1,22,10,10,4,3,3,24,12,13,8,1,1,22,10,6,3,2,1,,,,2,2,,2,2,2,2,2,2,1,,2,,40,24,22,7,5,2,,40,24,22,7,5,2,,2,,1,,31,14,17,3,4,1,,29,14,7,5,2,,2,9,5,2,,44,22,23,6,4,1,,2,40,24,22,7,5,2,,,,40,24,22,7,5,2,,2,2,,,2,2,2
15-Jul-15,6,3,5,,4,,,,8,8,1,,4,1,,,10,6,1,,5,5,3,,10,8,4,,4,5,1,,8,5,5,1,12,7,7,1,1,,12,12,6,4,1,,19,13,8,1,2,,21,13,4,3,,,8,12,6,2,2,,,,,,2,2,,2,,,,2,4,,,,40,16,15,3,2,,,40,16,15,3,2,,,1,1,1,1,30,18,12,1,1,,,18,11,8,2,1,,1,4,5,1,,39,27,13,4,1,,,2,40,16,15,3,2,,,,,40,16,15,3,2,,,,2,,2,,2,
15-Jul-16,2,1,1,,2,,,,6,12,1,,16,3,1,2,11,4,2,,16,5,6,,6,3,,,8,4,2,,19,9,8,,23,9,6,,,,21,6,7,2,,,21,11,6,1,3,,30,13,10,4,3,,13,17,10,2,,,,,2,,,,,4,,4,,4,2,,,,46,25,20,3,3,,,46,25,20,3,3,,,6,1,,,38,21,14,1,,,,22,18,10,2,,,,8,4,2,,56,30,18,2,,,4,4,46,25,20,3,3,,,,2,46,25,20,3,3,,,,,2,,,4,
15-Jul-17,8,3,6,,2,2,2,,23,7,3,,17,6,4,,21,8,4,,22,8,9,,16,11,13,,11,10,6,,21,5,9,1,35,12,13,3,,,23,15,12,2,1,,32,14,15,,1,1,40,15,11,2,,1,26,16,10,1,,,,,,,6,2,,6,,2,2,6,1,1,2,,69,34,32,1,1,1,,69,34,33,1,1,1,,5,,1,1,61,27,20,2,1,,,43,25,19,1,,,5,11,10,6,,86,36,26,2,1,,,6,69,34,33,1,1,1,,,,69,34,32,1,1,1,,,6,,2,,6,2
15-Jul-18,17,3,1,,,,,,16,6,5,,10,4,,,12,11,5,,19,13,10,,12,7,5,,10,6,4,2,13,8,6,1,30,13,6,3,1,,17,12,8,3,2,,29,10,4,2,,,26,22,11,2,2,,19,23,14,2,2,,,,,,2,4,,2,,,,4,,,,,56,36,22,4,1,,,56,36,21,4,1,,2,5,1,,1,56,28,21,2,1,,,28,27,16,2,1,,3,10,6,4,2,72,43,26,3,2,,,4,56,36,21,4,1,,2,,,56,36,22,4,1,,,,2,,4,,2,
15-Jul-19,5,8,7,,,,,,8,10,4,2,9,7,5,,12,10,5,2,16,7,3,,12,3,6,,10,4,7,,13,16,5,1,22,19,6,4,1,,11,6,10,5,3,,28,15,10,3,6,1,30,18,17,4,4,,17,18,5,4,3,1,2,2,,,4,2,,6,,4,2,6,,,,,58,30,23,5,6,,2,58,30,23,5,6,,,3,2,,1,41,26,21,3,3,,,31,17,12,3,2,,3,10,4,7,,55,40,32,5,3,,2,6,58,30,23,5,6,,4,,,58,30,23,5,6,,2,,4,,2,,6,2
15-Jul-20,9,4,3,,5,,,,14,8,3,,6,5,7,,14,4,9,,16,5,4,,4,4,2,,7,3,2,2,15,10,6,,21,9,6,1,3,,20,13,11,1,2,,24,6,12,3,1,1,24,17,11,3,3,,22,15,10,2,2,2,,,,,4,,,3,,3,4,4,4,,,,49,26,22,3,3,,1,49,26,22,3,3,1,1,4,2,1,,42,21,16,,2,,1,26,19,9,1,2,1,5,11,3,2,2,59,30,25,1,2,,,4,49,26,22,3,3,,2,,,49,26,22,3,3,,1,,4,,,,3,4
15-Jul-21,3,2,2,,1,1,,,12,6,1,,7,4,5,,10,8,8,,20,5,6,,12,1,3,,8,4,1,,13,8,6,2,25,9,7,4,2,1,19,5,5,4,1,1,14,11,7,5,1,1,31,12,16,1,1,,18,14,5,4,4,,,,2,,4,6,,4,,4,2,6,1,1,,,44,19,16,3,3,2,2,44,19,16,3,3,1,4,1,2,,2,40,17,13,3,1,1,2,23,11,6,1,3,,6,8,4,1,,61,26,21,4,1,1,5,6,44,19,16,3,3,2,5,,2,44,19,16,3,3,2,5,,4,4,6,,5,2
15-Jul-22,12,2,5,2,,,2,,7,3,5,,7,3,4,,13,8,3,,17,13,3,,7,5,,2,10,1,4,2,14,5,6,1,21,8,10,2,1,1,21,13,3,1,3,2,23,7,8,3,1,,20,14,8,2,2,1,22,10,11,,1,,2,2,2,,4,2,,4,,4,2,4,,,1,,46,16,13,3,2,,2,46,16,13,3,2,,2,4,1,2,1,41,18,14,1,2,1,2,25,11,9,,1,,5,10,1,4,2,58,34,19,1,3,2,3,4,46,16,13,3,2,,3,,2,46,16,13,3,2,,3,,4,2,2,,5,2
15-Jul-23,10,3,10,2,4,2,,,10,3,,4,12,2,4,,19,5,3,,17,6,5,,14,5,2,,14,3,5,,15,9,5,2,28,8,6,,2,1,21,18,8,2,2,1,29,13,12,5,2,3,30,12,6,4,2,3,25,11,10,2,1,,,,,2,,,2,2,2,2,,4,3,1,,,67,27,20,3,3,3,,67,27,20,3,3,3,,1,2,2,,58,27,22,2,2,,,37,11,10,2,1,,2,14,3,5,,78,33,28,2,3,1,3,4,67,27,20,3,3,3,,,,67,27,20,3,3,3,,2,,2,,2,2,
15-Jul-24,9,2,5,,5,2,,,14,5,4,,18,1,10,,18,8,8,,19,17,5,,21,6,7,,14,7,2,,13,8,8,1,40,17,10,3,1,2,21,12,7,2,1,3,30,12,13,2,2,2,38,17,19,4,2,2,27,18,8,2,1,1,,,,,4,2,,4,,2,2,6,,1,,,63,31,24,4,3,3,2,63,31,24,4,3,3,2,4,2,3,1,64,26,21,1,,2,2,47,20,14,2,1,1,5,14,7,2,,90,37,35,2,,3,2,6,63,31,24,4,3,3,3,,,63,31,24,4,3,3,3,,4,2,2,,4,2
15-Jul-25,5,6,2,,,2,,,12,3,4,,6,3,3,,17,7,4,,21,11,7,,18,3,5,,8,3,5,2,18,7,4,1,15,17,5,4,1,,22,12,3,,2,,34,20,10,3,2,1,34,12,17,,2,2,21,11,5,3,3,,,,2,,2,2,,2,,2,2,4,,1,,,60,35,21,4,1,1,2,60,35,21,4,1,1,2,3,,,1,45,29,14,,1,,2,28,15,10,2,1,,3,8,3,5,2,68,35,21,,2,,3,4,60,35,21,4,1,1,3,,2,60,35,21,4,1,1,3,,2,2,2,,3,2
15-Jul-26,5,3,1,2,1,3,,,8,6,1,2,17,6,6,,21,15,6,,8,9,10,,12,5,3,2,11,8,10,,21,3,13,1,24,11,9,1,1,1,20,16,8,3,3,,22,18,16,1,1,1,30,12,15,1,,1,26,18,8,2,1,,1,1,4,,4,4,,8,,8,4,8,,2,,,57,38,32,3,2,1,2,57,38,32,3,2,1,2,5,2,1,1,48,32,22,2,3,,2,36,21,13,2,1,,5,11,8,10,,65,41,27,3,3,,6,8,57,38,32,3,2,1,3,,4,57,38,32,3,2,1,3,,4,2,4,,10,4
15-Jul-27,8,7,3,,,,,,12,3,2,,9,4,5,,11,3,2,,10,10,8,,7,3,1,,9,4,6,,22,7,9,4,18,9,5,1,,,12,12,6,,2,1,20,12,13,1,3,,35,17,10,2,2,1,16,15,12,2,2,,,,2,,4,6,,6,,2,,6,,,,,48,27,19,3,1,,,48,27,19,3,1,,,4,2,2,3,34,21,17,,1,,,24,19,13,2,,,3,9,4,6,,54,32,23,,2,1,2,6,48,27,19,3,1,,,,2,48,27,19,3,1,,,,4,,6,,6,
15-Jul-28,4,,3,,2,2,2,,5,6,6,,10,4,3,,12,2,5,,13,10,6,,13,4,3,,10,3,1,,14,4,4,,12,9,13,2,2,,21,6,9,1,1,1,19,16,11,2,,1,26,9,9,1,,,27,11,7,2,,,,,,,2,,,2,,2,2,2,2,1,2,,51,22,18,2,,1,,51,22,18,2,,1,,1,1,1,,38,19,16,1,1,1,,29,12,5,1,,,2,10,3,1,,51,27,20,1,1,1,,2,51,22,18,2,,1,,,,51,22,18,2,,1,,,2,,,,2,2
15-Jul-29,5,5,4,,1,,,,9,3,3,,9,5,2,,12,7,1,,8,11,5,,10,5,1,2,14,4,3,,17,2,3,,21,8,2,4,2,2,20,4,6,4,2,,18,11,8,2,2,,26,19,12,4,1,3,33,14,5,4,2,,,,,,,2,,4,,4,2,8,1,,,,45,26,14,4,3,1,,45,26,14,4,2,1,6,2,,,,40,21,10,3,2,,,34,18,8,3,1,1,6,14,4,3,,53,31,16,4,2,,2,8,45,26,14,4,3,1,6,,,45,26,14,4,3,1,2,,,2,2,,5,2
15-Jul-30,6,5,2,,2,,,,18,4,9,,13,6,4,,9,5,5,,11,10,7,,6,,8,,13,5,,,13,9,7,1,27,11,17,6,3,1,12,15,10,2,2,2,24,10,5,1,,3,26,17,17,1,,,28,13,6,2,4,3,,,,,2,2,,2,,,,2,2,,,,48,29,20,3,3,3,,48,29,20,3,4,3,,3,2,,1,45,26,17,2,2,2,,29,17,10,2,4,1,1,13,5,,,61,36,29,2,2,2,,2,48,29,20,3,3,3,,,,48,29,20,3,3,3,,,2,,2,,2,
15-Jul-31,12,6,2,,2,,,,17,2,5,2,12,8,5,,15,14,6,,22,11,8,,24,10,1,,16,7,6,,11,10,3,1,25,15,9,2,2,1,26,20,14,2,5,,35,19,8,2,2,,42,24,18,1,2,,23,18,5,1,1,1,,,,,2,2,,3,,1,2,6,1,,,,67,46,19,3,3,1,3,67,46,19,3,3,1,3,3,3,1,1,58,34,12,2,3,,3,41,28,10,1,1,1,4,16,7,6,,84,47,26,2,5,,6,6,67,46,19,3,3,1,5,,,67,46,19,3,3,1,4,,2,4,2,,3,2
15-Aug-01,2,11,2,,,,,,15,7,4,,10,4,1,,16,14,1,,16,9,6,,14,4,7,,7,2,2,,17,6,6,2,24,6,7,3,2,,23,14,2,1,2,2,16,16,8,2,1,1,29,19,10,4,4,1,23,18,12,2,2,,,,,,4,4,,4,,,,4,,,,,53,32,19,4,3,1,,53,32,18,4,3,1,,3,2,3,2,44,26,11,1,1,1,,31,18,15,2,2,,2,7,2,2,,63,40,16,1,2,2,,4,53,32,19,4,3,1,,,,53,32,19,4,3,1,,,4,,4,,4,
15-Aug-02,4,5,5,,,,,,10,4,4,,19,4,7,,20,9,3,,15,8,4,,8,1,4,,20,6,6,,21,11,,1,21,6,10,5,2,,29,8,6,4,2,,29,11,10,5,1,2,44,19,12,4,1,1,19,14,9,2,,1,,,,,2,2,,2,,,,2,,,,,54,23,17,5,2,1,,55,23,18,5,1,1,,5,2,,1,40,18,13,4,2,,,25,12,10,1,,,1,20,6,6,,70,29,19,4,2,,,2,54,23,17,5,1,1,,,,54,23,17,5,2,1,,,2,,2,,2,
