,CarType,camping0,camping1,camping2,camping3,camping4,camping5,camping6,camping7,camping8,entrance0,entrance1,entrance2,entrance3,entrance4,gate0,gate1,gate2,gate3,gate4,gate5,gate6,gate7,gate8,general-gate0,general-gate1,general-gate2,general-gate3,general-gate4,general-gate5,general-gate6,general-gate7,ranger-base,ranger-stop0,ranger-stop1,ranger-stop2,ranger-stop3,ranger-stop4,ranger-stop5,ranger-stop6,ranger-stop7
6/3/2015,2,2,2,2,2,4,4,2,,3,12,8,3,8,6,,,,,,,,,,2,10,10,,11,5,,17,,10,,10,,,,,
6/3/2015,3,2,,,5,1,2,3,,2,7,5,4,10,6,,,,,,,,,,,12,12,1,6,8,,12,,12,,12,,,,,
6/3/2015,4,,,,,,,,,,1,2,1,2,2,,,,,,,,,,,1,1,,,1,,2,,1,,1,,,,,
6/3/2015,5,,,,,,,,,,1,4,4,1,2,,,,,,,,,,,4,4,,3,1,,4,,4,,4,,,,,
6/3/2015,6,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2015,2P,,,,,,,,,1,,,,,,,,,2,2,,,,4,,2,2,1,2,3,,2,4,3,,3,2,2,2,,
6/4/2015,1,3,2,10,4,10,3,7,8,6,11,14,10,22,12,,,,,,,,,,2,31,31,,18,19,8,26,,31,,31,,,,,
6/4/2015,2,1,,3,4,4,2,,6,7,7,13,5,4,8,,,,,,,,,,,16,16,,13,9,6,16,,16,,16,,,,,
6/4/2015,3,4,,1,3,,3,2,6,2,6,2,7,12,2,,,,,,,,,,,15,15,,7,8,6,11,,15,,15,,,,,
6/4/2015,4,,,,,,,,,,1,4,2,1,2,,,,,,,,,,,2,2,,3,1,,4,,2,,2,,,,,
6/4/2015,5,,,,,,,,,,1,2,4,2,1,,,,,,,,,,,3,3,,1,,,2,,3,,3,,,,,
6/4/2015,6,,,,,,,,,,,3,1,3,1,,,,,,,,,,,2,2,,1,1,,3,,2,,2,,,,,
6/4/2015,2P,,,,,,,,,1,,,,,,,,,4,2,6,4,2,6,,,,1,,3,,2,6,,,,4,2,2,6,2
6/5/2015,1,6,2,2,5,8,11,9,6,5,20,8,15,19,10,,,,,,,,,,1,23,23,,17,13,6,31,,23,,23,,,,,
6/5/2015,2,2,,3,4,4,3,9,2,6,11,7,8,12,15,,,,,,,,,,,20,20,,15,16,2,21,,20,,20,,,,,
6/5/2015,3,2,,1,3,,9,1,4,3,8,7,10,7,7,,,,,,,,,,,11,11,2,11,5,4,17,,11,,11,,,,,
6/5/2015,4,,,,,,,,,,1,2,1,1,1,,,,,,,,,,,2,2,,1,1,,2,,2,,2,,,,,
6/5/2015,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2015,6,,,,,,,,,,1,4,2,1,,,,,,,,,,,,2,2,,3,,,4,,2,,2,,,,,
6/5/2015,2P,,,,,,,,,3,,,,,,,,6,6,6,6,6,6,6,,6,6,3,6,9,,9,6,9,6,9,6,6,6,9,6
6/6/2015,1,3,,9,10,4,8,5,8,8,11,13,19,16,19,,,,,,,,,,,27,27,2,21,17,8,32,,27,,27,,,,,
6/6/2015,2,2,1,4,7,7,7,9,2,6,5,7,16,21,15,,,,,,,,,,1,40,40,,24,20,2,31,,40,,40,,,,,
6/6/2015,3,1,2,4,2,1,2,2,3,1,3,4,4,6,7,,,,,,,,,,1,11,11,,7,8,3,10,,11,,11,,,,,
6/6/2015,4,,,,,,,,,,2,1,1,2,2,,,,,,,,,,,1,1,,,1,,1,,1,,1,,,,,
6/6/2015,5,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,
6/6/2015,6,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
6/6/2015,2P,,,,,,,,,3,,,,,,,,,6,6,6,,,6,,,,3,,3,,,6,,,,6,,6,6,
6/7/2015,1,6,,5,4,8,12,6,7,8,16,13,11,16,17,,,,,,,,,,,35,35,,28,19,7,38,,35,,35,,,,,
6/7/2015,2,1,,9,4,5,13,1,2,2,7,13,9,13,10,,,,,,,,,,,15,15,1,15,8,2,29,,15,,15,,,,,
6/7/2015,3,,,1,3,4,3,,4,,7,3,4,9,4,,,,,,,,,,,8,8,,8,5,4,14,,8,,8,,,,,
6/7/2015,4,,,,,,,,,,2,3,2,1,,,,,,,,,,,,2,2,,2,,,3,,2,,2,,,,,
6/7/2015,5,,,,,,,,,,1,1,2,3,3,,,,,,,,,,,5,5,,1,3,,1,,5,,5,,,,,
6/7/2015,6,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
6/7/2015,2P,,,,,,4,,2,1,,,,,,,,,4,4,8,4,2,8,,,,1,,3,2,2,8,,,,4,,4,8,2
6/8/2015,1,6,,5,9,11,7,10,7,5,20,18,13,19,14,,,,,,,,,,,33,33,2,29,22,7,41,,33,,33,,,,,
6/8/2015,2,4,,2,2,3,4,3,1,3,8,7,8,19,4,,,,,,,,,,,11,11,,8,6,1,21,,11,,11,,,,,
6/8/2015,3,1,2,1,4,4,1,2,2,1,4,5,6,5,6,,,,,,,,,,1,9,9,,9,5,2,12,,9,,9,,,,,
6/8/2015,4,,,,,,,,,,4,1,3,4,1,,,,,,,,,,,4,4,,1,1,,1,,4,,4,,,,,
6/8/2015,5,,,,,,,,,,1,2,,1,1,,,,,,,,,,,,,,1,,,2,,,,,,,,,
6/8/2015,6,,,,,,,,,,2,2,2,,,,,,,,,,,,,2,2,,2,,,2,,2,,2,,,,,
6/8/2015,2P,,,,,,,,,,,,,,,1,1,4,,,3,3,,4,,1,1,,,1,,3,4,1,4,2,,,,3,
6/9/2015,1,5,,3,7,5,7,11,6,5,13,9,13,17,15,,,,,,,,,,,28,28,1,15,18,6,25,,28,,28,,,,,
6/9/2015,2,1,,4,3,6,7,2,1,1,7,7,11,11,7,,,,,,,,,,,18,18,,18,8,1,26,,18,,18,,,,,
6/9/2015,3,,,2,1,2,2,4,3,,6,4,7,5,4,,,,,,,,,,,10,10,,5,5,3,8,,10,,10,,,,,
6/9/2015,4,,,,,,,,,,,2,3,,1,,,,,,,,,,,3,4,,2,1,,2,,3,,3,,,,,
6/9/2015,5,,,,,,,,,,2,2,2,1,2,,,,,,,,,,,1,1,,1,1,,2,,1,,1,,,,,
6/9/2015,6,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
6/9/2015,2P,,,,,,,,,1,,,,,,,,2,2,2,2,1,,1,,1,1,1,1,2,,3,1,2,2,1,2,2,2,2,
6/10/2015,1,3,1,5,8,10,5,6,3,8,16,14,14,21,10,,,,,,,,,,1,34,34,1,28,15,3,39,,34,,34,,,,,
6/10/2015,2,1,,7,7,2,6,7,1,3,9,11,10,12,12,,,,,,,,,,,27,27,,20,14,1,27,,27,,27,,,,,
6/10/2015,3,,,1,3,1,3,4,4,1,3,6,8,4,6,,,,,,,,,,,9,9,,10,6,4,12,,9,,9,,,,,
6/10/2015,4,,,,,,,,,,2,2,3,2,6,,,,,,,,,,,4,3,,2,3,,2,,4,,4,,,,,
6/10/2015,5,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,6,,,,,,,,,,,1,,1,2,,,,,,,,,,,2,2,,1,2,,1,,2,,2,,,,,
6/10/2015,2P,,2,,,2,,2,,3,,,,,,,,4,6,2,6,7,6,9,,3,3,1,3,8,,5,9,4,4,5,6,2,2,8,6
6/11/2015,1,5,1,8,7,14,5,4,5,7,20,7,16,20,15,,,,,,,,,,1,34,34,1,27,15,5,41,,34,,34,,,,,
6/11/2015,2,,,4,1,2,5,4,1,8,9,7,3,12,4,,,,,,,,,,,16,16,,7,7,1,14,,16,,16,,,,,
6/11/2015,3,1,,4,4,2,1,,3,2,6,4,8,6,7,,,,,,,,,,,14,14,1,10,8,3,12,,14,,14,,,,,
6/11/2015,4,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,5,,,,,,,,,,,1,,1,2,,,,,,,,,,,2,2,,1,2,,1,,2,,2,,,,,
6/11/2015,2P,,,,,,,,,1,,,,,,,,2,2,2,2,2,2,2,,2,2,1,2,3,,3,2,3,2,3,2,2,2,3,2
6/12/2015,1,7,,9,7,9,8,15,4,10,24,11,13,27,18,,,,,,,,,,,36,36,1,23,22,4,39,,36,,36,,,,,
6/12/2015,2,2,1,6,6,6,2,2,2,3,7,10,11,11,13,,,,,,,,,,1,22,22,2,20,14,2,24,,22,,22,,,,,
6/12/2015,3,,,3,5,1,4,,1,7,10,4,4,6,3,,,,,,,,,,,11,11,,13,2,1,15,,11,,11,,,,,
6/12/2015,4,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
6/12/2015,5,,,,,,,,,,,1,1,,2,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
6/12/2015,6,,,,,,,,,,,1,2,1,2,,,,,,,,,,,2,2,,1,1,,1,,2,,2,,,,,
6/12/2015,2P,,,,,,,,,1,,,,,,,,2,4,2,4,4,4,6,,4,4,1,4,7,,5,6,6,2,6,4,4,2,5,4
6/13/2015,1,2,4,8,9,10,12,11,5,9,17,11,17,22,17,,,,,,,,,,1,35,35,3,31,23,5,44,,35,,35,,,,,
6/13/2015,2,1,,3,4,3,6,8,8,7,3,14,10,8,11,,,,,,,,,,,20,20,2,14,16,8,21,,20,,20,,,,,
6/13/2015,3,2,,3,3,5,4,2,3,2,6,7,7,7,9,,,,,,,,,,,15,15,1,9,8,3,14,,15,,15,,,,,
6/13/2015,4,,,,,,,,,,1,,,2,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
6/13/2015,5,,,,,,,,,,2,2,1,,1,,,,,,,,,,,2,2,,2,1,,2,,2,,2,,,,,
6/13/2015,6,,,,,,,,,,2,1,,1,2,,,,,,,,,,,2,2,,1,2,,1,,2,,2,,,,,
6/13/2015,2P,,,,2,,,,,1,,,,,,1,1,,2,2,1,1,,2,,1,1,1,,,,1,2,1,,1,2,,2,1,
6/14/2015,1,4,2,6,7,8,8,6,12,17,17,9,19,20,16,,,,,,,,,,2,39,39,3,27,26,12,38,,39,,39,,,,,
6/14/2015,2,2,,3,6,2,4,9,5,3,5,8,12,10,7,,,,,,,,,,,26,26,,18,13,5,21,,26,,26,,,,,
6/14/2015,3,,,3,4,4,5,2,3,1,7,4,6,6,5,,,,,,,,,,,13,13,1,13,9,3,18,,13,,13,,,,,
6/14/2015,4,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,
6/14/2015,5,,,,,,,,,,1,,,1,2,,,,,,,,,,,2,2,,,2,,,,2,,2,,,,,
6/14/2015,6,,,,,,,,,,2,3,2,2,1,,,,,,,,,,,1,1,,2,,,3,,1,,1,,,,,
6/14/2015,2P,,,,,2,,,,1,,,,,,,,,4,2,6,4,2,6,,,,1,,3,,2,6,,,,4,,2,6,2
6/15/2015,1,2,,8,14,12,4,8,10,13,15,14,16,26,17,,,,,,,,,,,45,45,,33,26,10,44,,45,,45,,,,,
6/15/2015,2,4,,4,2,4,4,4,2,5,7,9,7,14,12,,,,,,,,,,,16,16,3,10,15,2,17,,16,,16,,,,,
6/15/2015,3,1,,1,2,2,4,2,,3,7,4,4,4,6,,,,,,,,,,,9,9,,8,6,,11,,9,,9,,,,,
6/15/2015,4,,,,,,,,,,4,2,4,2,2,,,,,,,,,,,6,6,,1,2,,2,,6,,6,,,,,
6/15/2015,5,,,,,,,,,,1,,2,,1,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
6/15/2015,6,,,,,,,,,,1,,2,1,,,,,,,,,,,,2,2,,,,,,,2,,2,,,,,
6/15/2015,2P,,,2,,,,,,2,,,,,,1,1,4,4,4,7,5,2,8,,3,3,2,2,5,,6,8,5,4,4,4,2,4,8,2
6/16/2015,1,3,,8,6,11,8,8,12,10,10,13,21,26,18,,,,,,,,,,,43,43,3,26,26,12,41,,43,,43,,,,,
6/16/2015,2,,2,3,4,2,5,4,2,4,9,8,10,17,10,,,,,,,,,,1,22,22,1,11,12,2,20,,22,,22,,,,,
6/16/2015,3,2,,5,2,3,6,3,,3,4,6,8,8,2,,,,,,,,,,,14,14,1,12,5,,19,,14,,14,,,,,
6/16/2015,4,,,,,,,,,,1,,1,4,2,,,,2,,2,2,,,,1,1,,,3,,,,1,,1,2,,,2,
6/16/2015,5,,,,,,,,,,2,3,6,5,2,,,,,,,,,,,6,6,,3,1,,3,,6,,6,,,,,
6/16/2015,6,,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
6/16/2015,2P,,,,,,,2,,1,,,,,,,,2,4,2,5,5,4,8,,3,3,1,3,6,,5,8,5,2,4,4,6,2,6,4
6/17/2015,1,2,,8,6,8,9,6,11,17,6,19,18,29,15,,,,,,,,,,,39,39,4,23,22,11,37,,39,,39,,,,,
6/17/2015,2,6,,4,2,3,5,1,2,4,7,8,8,9,7,,,,,,,,,,,16,16,,14,9,2,20,,16,,16,,,,,
6/17/2015,3,2,,2,5,3,2,1,3,2,5,6,1,9,5,,,,,,,,,,,10,10,,8,7,3,15,,10,,10,,,,,
6/17/2015,4,,,,,,,,,,2,1,,1,1,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
6/17/2015,5,,,,,,,,,,,1,,2,1,,,,,,,,,,,1,1,,,1,,1,,1,,1,,,,,
6/17/2015,6,,,,,,,,,,2,,2,1,1,,,,,,,,,,,3,3,,,1,,,,3,,3,,,,,
6/17/2015,2P,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,3,,2,,,,,
6/18/2015,1,1,,8,3,10,4,3,6,10,15,11,13,24,8,,,,,,,,,,,30,30,1,19,17,6,31,,30,,30,,,,,
6/18/2015,2,2,,7,5,2,7,2,6,2,12,13,15,10,7,,,,,,,,,,,16,16,1,17,7,6,26,,16,,16,,,,,
6/18/2015,3,2,,2,5,3,4,6,2,2,5,6,10,4,5,,,,,,,,,,,11,11,,12,7,2,16,,11,,11,,,,,
6/18/2015,4,,,,,,,,,,1,2,1,5,2,,,,,,,,,,,3,3,,,2,,2,,3,,3,,,,,
6/18/2015,5,,,,,,,,,,,1,3,1,3,,,,,,,,,,,2,2,,1,1,,1,,2,,2,,,,,
6/18/2015,6,,,,,,,,,,,1,1,1,1,,,,,,,,,,,2,2,,1,1,,1,,2,,2,,,,,
6/18/2015,2P,,,,,,,,,1,,,,,,,,,2,2,2,,,2,,,,1,,1,,,2,,,,2,,2,2,
6/19/2015,1,3,2,6,9,12,9,10,4,12,12,17,8,18,19,,,,,,,,,,1,34,34,1,27,25,4,38,,34,,34,,,,,
6/19/2015,2,5,,3,5,5,4,9,2,5,6,9,11,16,10,,,,,,,,,,,17,17,1,8,13,2,19,,17,,17,,,,,
6/19/2015,3,3,,1,3,3,8,1,,2,7,6,2,11,5,,,,,,,,,,,10,10,,12,6,,21,,10,,10,,,,,
6/19/2015,4,,,,,,,,,,2,1,,1,2,,,,,,,,,,,2,2,,1,2,,1,,2,,2,,,,,
6/19/2015,5,,,,,,,,,,,2,2,,2,,,,,,,,,,,2,2,,2,1,,2,,2,,2,,,,,
6/19/2015,6,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
6/19/2015,2P,,,,,,,,,1,,,,,,,,,4,2,4,2,2,6,,2,2,1,2,5,,2,6,3,,3,4,2,2,4,2
6/20/2015,1,8,,7,11,10,10,9,10,8,15,12,25,22,20,,,,,,,,,,,43,43,3,34,24,10,49,,43,,43,,,,,
6/20/2015,2,7,,9,1,5,6,6,,7,14,9,10,13,15,,,,,,,,,,,28,28,1,24,17,,31,,28,,28,,,,,
6/20/2015,3,1,,1,5,2,4,3,1,7,10,5,9,9,8,,,,,,,,,,,16,16,2,10,10,1,16,,16,,16,,,,,
6/20/2015,4,,,,,,,,,,1,,,1,1,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
6/20/2015,5,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
6/20/2015,6,,,,,,,,,,1,4,1,1,1,,,,,,,,,,,2,2,,3,1,,4,,2,,2,,,,,
6/20/2015,2P,,,,,2,,,,2,,,,,,,,2,4,6,8,6,4,5,,2,2,2,2,3,,7,5,3,2,3,4,4,6,9,4
6/21/2015,1,6,6,3,6,14,8,17,6,13,21,23,16,28,17,,,,,,,,,,5,51,51,,34,30,6,47,,51,,51,,,,,
6/21/2015,2,5,,6,4,6,11,2,2,4,6,8,11,11,9,,,,,,,,,,,22,22,1,25,11,2,34,,22,,22,,,,,
6/21/2015,3,1,,1,5,4,4,4,2,3,7,9,10,14,5,,,,,,,,,,,16,16,1,9,7,2,16,,16,,16,,,,,
6/21/2015,4,,,,,,,,,,1,3,1,1,1,,,,,,,,,,,2,2,,1,1,,2,,2,,2,,,,,
6/21/2015,6,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
6/21/2015,2P,,,,,,2,2,,4,,,,,,,,,,2,2,2,,9,,4,6,,4,9,,6,9,8,,6,,4,2,2,
6/22/2015,1,3,2,6,9,8,15,4,5,12,11,15,11,25,16,,,,,,,,,,1,32,32,2,26,17,5,48,,32,,32,,,,,
6/22/2015,2,4,,6,1,8,5,5,5,6,14,8,9,13,11,,,,,,,,,,,24,24,2,21,17,5,28,,24,,24,,,,,
6/22/2015,3,3,,1,4,4,5,2,3,4,7,5,7,12,6,,,,,,,,,,,10,10,2,8,5,3,17,,10,,10,,,,,
6/22/2015,4,,,,,,,,,,1,4,3,3,3,,,,,,,,,,,4,4,,3,2,,4,,4,,4,,,,,
6/22/2015,5,,,,,,,,,,,1,1,1,1,,,,,,,,,,,2,2,,1,1,,1,,2,,2,,,,,
6/22/2015,2P,,,,,,2,,4,,,,,,,,,,,4,4,4,,4,,,,,,,4,4,4,,,,,2,4,4,
6/23/2015,1,7,9,8,13,5,9,3,6,7,16,10,19,23,11,,,,,,,,,,7,39,39,1,33,16,6,48,,39,,39,,,,,
6/23/2015,2,,,4,7,5,6,5,2,8,11,11,11,10,14,,,,,,,,,,,22,22,2,22,16,2,28,,22,,22,,,,,
6/23/2015,3,3,,2,1,2,7,6,,,4,5,6,4,11,,,,,,,,,,,11,11,,13,10,,16,,11,,11,,,,,
6/23/2015,4,,,,,,,,,,1,3,3,2,1,,,,,,,,,,,4,4,,2,1,,3,,4,,4,,,,,
6/23/2015,5,,,,,,,,,,,4,1,4,2,,,,,,,,,,,3,3,,1,2,,3,,3,,3,,,,,
6/23/2015,2P,2,,,2,,,,,3,,,,,,4,4,,4,2,5,3,2,8,,3,3,1,,6,,,8,5,,4,4,,2,5,2
6/24/2015,1,10,2,6,4,8,12,7,8,11,21,16,13,29,17,,,,,,,,,,2,36,36,2,31,22,8,47,,36,,36,,,,,
6/24/2015,2,6,,8,2,6,3,3,2,7,8,13,15,10,13,,,,,,,,,,,28,28,1,24,12,2,30,,28,,28,,,,,
6/24/2015,3,1,,4,2,3,8,9,4,2,6,10,9,14,6,,,,,,,,,,,20,20,1,14,13,4,22,,20,,20,,,,,
6/24/2015,4,,,,,,,,,,2,1,2,2,1,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,
6/24/2015,5,,,,,,,,,,2,,,,1,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
6/24/2015,6,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2015,2P,,,,,,,,,,,,,,,,,2,,2,2,2,2,2,,,,,,,,2,2,,2,,,,2,2,2
6/25/2015,1,5,2,6,14,5,15,9,7,2,16,14,13,17,20,,,,,,,,,,,36,36,,32,28,7,46,,36,,36,,,,,
6/25/2015,2,2,2,8,4,9,6,5,2,2,13,4,12,8,12,,,,,,,,,,1,23,23,1,20,12,2,27,,23,,23,,,,,
6/25/2015,3,1,,,1,2,7,6,6,4,9,2,3,8,7,,,,,,,,,,,18,18,,9,15,6,12,,18,,18,,,,,
6/25/2015,4,,,,,,,,,,2,1,1,2,2,,,,2,,2,2,,,,3,3,,1,4,,1,,3,,3,2,,,2,
6/25/2015,5,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2015,6,,,,,,,,,,3,,3,1,1,,,,,,,,,,,4,4,,,1,,,,4,,4,,,,,
6/25/2015,2P,,,2,,,,,,2,,,,,,,,2,6,4,6,6,4,5,,2,2,2,2,6,,5,5,3,2,3,6,2,4,7,4
6/26/2015,1,6,,5,4,6,15,11,10,9,18,16,13,14,14,,,,,,,,,,,36,36,1,32,24,10,43,,36,,36,,,,,
6/26/2015,2,5,,3,2,7,7,9,1,6,8,11,16,9,12,,,,,,,,,,,21,21,3,22,15,1,28,,21,,21,,,,,
6/26/2015,3,3,,1,1,4,7,1,3,2,8,6,7,3,4,,,,,,,,,,,11,11,,15,6,3,18,,11,,11,,,,,
6/26/2015,4,,,,,,,,,,,2,5,1,2,,,,,,,,,,,3,3,,2,,,2,,3,,3,,,,,
6/26/2015,5,,,,,,,,,,,,1,2,3,,,,,,,,,,,2,2,,,2,,,,2,,2,,,,,
6/26/2015,2P,,,,,,,,,1,,,,,,,,2,2,2,2,2,2,3,,2,2,1,2,3,,3,3,3,2,3,2,2,2,3,2
6/27/2015,1,6,,8,12,15,11,4,6,12,22,17,12,24,23,,,,,,,,,,,39,39,2,41,24,6,55,,39,,39,,,,,
6/27/2015,2,4,,3,2,8,6,5,1,7,8,4,10,16,11,,,,,,,,,,,21,21,2,12,11,1,22,,21,,21,,,,,
6/27/2015,3,5,,,3,1,4,2,,3,4,4,5,12,3,,,,,,,,,,,9,9,,7,2,,15,,9,,9,,,,,
6/27/2015,4,,,,,,,,,,2,2,3,1,,,,,,,,,,,,1,1,,2,,,2,,1,,1,,,,,
6/27/2015,5,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
6/27/2015,6,,,,,,,,,,4,4,,1,1,,,,,,,,,,,1,1,,3,1,,4,,1,,1,,,,,
6/27/2015,2P,,,,,,,,,1,,,,,,,,,6,2,6,4,4,8,,,2,1,,7,,,8,2,,,6,,2,6,4
6/28/2015,1,2,4,6,12,9,11,8,2,8,13,9,14,18,16,,,,,,,,,,3,28,28,3,25,16,2,37,,28,,28,,,,,
6/28/2015,2,,6,10,2,4,8,4,,5,8,6,8,10,12,,,,,,,,,,5,21,21,1,21,11,,26,,21,,21,,,,,
6/28/2015,3,3,,,2,2,11,4,4,5,7,9,6,10,9,,,,,,,,,,,16,16,2,12,12,4,18,,16,,16,,,,,
6/28/2015,4,,,,,,,,,,1,3,2,1,1,,,,,,,,,,,3,3,,2,1,,3,,3,,3,,,,,
6/28/2015,5,,,,,,,,,,1,,1,2,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
6/28/2015,6,,,,,,,,,,,2,,1,1,,,,,,,,,,,1,1,,1,1,,2,,1,,1,,,,,
6/28/2015,2P,,,,,,,,2,2,,,,,,,,2,6,4,4,2,2,8,,4,4,2,4,8,2,5,8,6,2,6,6,4,4,5,2
6/29/2015,1,7,,7,4,14,20,8,9,10,9,13,24,27,16,,,,,,,,,,,41,41,1,35,21,9,56,,41,,41,,,,,
6/29/2015,2,8,,5,5,7,7,1,2,4,14,7,8,16,13,,,,,,,,,,,20,20,,21,13,2,34,,20,,20,,,,,
6/29/2015,3,6,,,5,3,5,2,9,5,8,7,8,8,6,,,,,,,,,,,20,20,1,17,13,9,20,,20,,20,,,,,
6/29/2015,4,,,,,,,,,,3,3,,1,1,,,,,,,,,,,1,1,,2,1,,3,,1,,1,,,,,
6/29/2015,5,,,,,,,,,,1,,2,2,1,,,,,,,,,,,3,3,,,1,,,,3,,3,,,,,
6/29/2015,6,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,
6/29/2015,2P,,,,,,,,,,,,,,,,,,2,,2,2,2,2,,,,,,2,,,2,,,,2,,,2,2
6/30/2015,1,10,,4,8,11,7,13,4,6,17,15,15,18,14,,,,,,,,,,,36,36,1,32,20,4,46,,36,,36,,,,,
6/30/2015,2,7,,4,7,4,5,5,5,5,10,8,10,17,19,,,,,,,,,,,24,24,,18,16,5,28,,24,,24,,,,,
6/30/2015,3,5,,1,1,1,4,,1,6,3,6,7,6,5,,,,,,,,,,,9,9,3,8,6,1,12,,9,,9,,,,,
6/30/2015,4,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,1,1,,,1,,1,,1,,1,,,,,
6/30/2015,5,,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
6/30/2015,2P,,,,,,,,,2,,,,,,,,2,4,4,4,2,2,4,,2,2,2,2,4,,3,4,3,2,3,4,2,4,5,2
7/1/2015,1,18,5,19,24,25,28,18,25,17,53,39,55,49,45,,,2,,,2,2,,4,3,106,106,1,94,60,25,128,4,107,4,107,,2,,2,
7/1/2015,1,8,5,12,16,15,15,7,9,6,24,14,23,25,19,,,,,,,,,,3,45,45,,43,23,9,61,,45,,45,,,,,
7/1/2015,2,8,,3,4,9,7,6,8,6,14,7,17,10,10,,,,,,,,,,,31,31,,30,13,8,35,,31,,31,,,,,
7/1/2015,3,2,,4,4,1,6,5,8,5,12,11,12,9,11,,,,,,,,,,,21,21,1,14,17,8,21,,21,,21,,,,,
7/1/2015,4,,,,,,,,,,2,5,,1,2,,,,,,,,,,,2,2,,4,2,,5,,2,,2,,,,,
7/1/2015,5,,,,,,,,,,1,2,1,1,1,,,,,,,,,,,2,2,,1,1,,2,,2,,2,,,,,
7/1/2015,6,,,,,,,,,,,,2,3,2,,,,,,,,,,,3,3,,,2,,,,3,,3,,,,,
7/1/2015,2P,,,,,,,,,,,,,,,,,2,,,2,2,,4,,2,2,,2,2,,4,4,3,4,3,,2,,2,
7/2/2015,1,10,2,9,8,12,10,9,8,11,21,16,22,23,25,,,,,,,,,,,48,48,1,40,29,8,55,,48,,48,,,,,
7/2/2015,2,2,,5,2,4,11,2,6,16,12,14,14,21,16,,,,,,,,,,,36,36,3,22,21,6,34,,36,,36,,,,,
7/2/2015,3,3,,3,1,2,3,3,1,3,7,4,5,3,6,,,,,,,,,,,8,8,1,11,4,1,14,,8,,8,,,,,
7/2/2015,4,,,,,,,,,,1,2,1,2,,,,,,,,,,,,1,1,,1,,,2,,1,,1,,,,,
7/2/2015,5,,,,,,,,,,1,1,,,2,,,,,,,,,,,2,2,,1,2,,1,,2,,2,,,,,
7/2/2015,6,,,,,,,,,,1,,,1,1,,,,,,,,,,,2,2,,,1,,,,2,,2,,,,,
7/2/2015,2P,,,,,,,,,2,,,,,,,,2,2,,4,4,2,4,,,,,,4,,2,4,,4,,2,,,5,2
7/3/2015,1,14,,16,21,10,20,11,4,16,23,23,32,30,26,,,,,,,,,,,64,64,4,63,33,4,86,,64,,64,,,,,
7/3/2015,2,5,,9,11,6,12,12,4,12,21,14,13,13,22,,,,,,,,,,,37,37,1,38,26,4,49,,37,,37,,,,,
7/3/2015,3,9,2,3,6,7,7,6,4,6,6,10,17,16,11,,,,,,,,,,1,22,22,3,19,12,4,33,,22,,22,,,,,
7/3/2015,4,,,,,,,,,,1,3,1,3,2,,,,,,,,,,,3,3,,2,2,,3,,3,,3,,,,,
7/3/2015,5,,,,,,,,,,,1,3,3,3,,,,,,,,,,,4,4,,1,2,,1,,4,,4,,,,,
7/3/2015,6,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
7/3/2015,2P,,,,,,,,,2,,,,,,,,,4,4,4,,,4,,,,2,,2,,,4,,,,4,,4,4,
