date,day,CarType,Total,camping0,camping1,camping2,camping3,camping4,camping5,camping6,camping7,camping8,entrance0,entrance1,entrance2,entrance3,entrance4,gate0,gate1,gate2,gate3,gate4,gate5,gate6,gate7,gate8,general-gate0,general-gate1,general-gate2,general-gate3,general-gate4,general-gate5,general-gate6,general-gate7,ranger-base,ranger-stop0,ranger-stop1,ranger-stop2,ranger-stop3,ranger-stop4,ranger-stop5,ranger-stop6,ranger-stop7
7/26/2015,87,3,307,1,,1,6,6,10,3,10,13,9,8,16,15,8,,,,,,,,,,,32,32,1,22,13,10,27,,32,,32,,,,,
7/26/2015,87,4,27,,,,,,,,,,1,3,1,1,2,,,,,,,,,,,3,3,,2,2,,3,,3,,3,,,,,
7/26/2015,87,5,21,,,,,,,,,,1,3,1,,1,,,,,,,,,,,2,2,,3,1,,3,,2,,2,,,,,
7/26/2015,87,6,7,,,,,,,,,,1,,1,1,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
7/26/2015,87,2P,109,2,,2,,,,2,,1,,,,,,1,1,4,4,4,8,8,4,8,,2,2,1,2,5,,6,8,3,4,3,4,2,4,10,4
7/27/2015,88,1,506,8,,12,9,11,10,7,9,22,18,12,20,35,16,,,,,,,,,,,48,48,4,34,24,9,54,,48,,48,,,,,
7/27/2015,88,2,292,7,,3,4,3,10,3,4,7,9,12,12,17,15,,,,,,,,,,,27,27,2,21,19,4,32,,27,,27,,,,,
7/27/2015,88,3,219,3,,2,5,2,8,1,6,9,5,6,13,10,12,,,,,,,,,,,19,19,2,17,13,6,23,,19,,19,,,,,
7/27/2015,88,4,20,,,,,,,,,,1,,1,2,2,,,,,,,,,,,3,3,,,2,,,,3,,3,,,,,
7/27/2015,88,5,16,,,,,,,,,,,2,3,2,2,,,,,,,,,,,1,1,,1,,,2,,1,,1,,,,,
7/27/2015,88,6,3,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
7/27/2015,88,2P,62,,,,,,,,,4,,,,,,,,2,4,6,6,2,,6,,,,3,,3,,2,6,,2,,4,,6,6,
7/28/2015,89,1,523,4,2,5,10,12,13,13,10,14,12,21,19,26,27,,,,,,,,,,2,51,51,1,38,29,10,51,,51,,51,,,,,
7/28/2015,89,2,237,,2,6,4,2,10,4,3,4,9,6,16,9,11,,,,,,,,,,1,22,22,1,19,12,3,27,,22,,22,,,,,
7/28/2015,89,3,199,3,2,6,3,5,6,3,1,4,13,9,11,9,7,,,,,,,,,,2,18,18,1,16,5,1,20,,18,,18,,,,,
7/28/2015,89,4,19,,,,,,,,,,2,1,2,1,2,,,,,,,,,,,2,2,,1,1,,1,,2,,2,,,,,
7/28/2015,89,5,5,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
7/28/2015,89,6,8,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,
7/28/2015,89,2P,20,,,,,,,,,,,,,,,,,,2,,2,2,2,2,,,,,,2,,,2,,,,2,,,2,2
7/29/2015,90,1,527,5,1,9,9,12,8,10,14,17,21,20,18,26,33,,,,,,,,,,1,45,45,2,40,34,14,53,,45,,45,,,,,
7/29/2015,90,2,276,5,,3,5,7,11,5,4,2,8,4,11,19,14,,,,,,,,,,,26,26,,21,18,4,31,,26,,26,,,,,
7/29/2015,90,3,148,4,,3,2,1,5,1,3,3,2,6,8,12,5,,,,,,,,,,,14,14,,10,8,3,16,,14,,14,,,,,
7/29/2015,90,4,44,,,,,,,,,,4,4,2,4,4,,,,,,,,,,,4,4,,3,3,,4,,4,,4,,,,,
7/29/2015,90,5,25,,,,,,,,,,2,2,2,1,2,,,,,,,,,,,3,2,,2,1,,2,,3,,3,,,,,
7/29/2015,90,6,10,,,,,,,,,,2,,,3,,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
7/29/2015,90,2P,63,,,,,,,2,,,,,,,,,,,,2,4,4,2,8,,,6,,,6,,2,8,6,,2,,2,2,5,2
7/30/2015,91,1,553,6,2,18,13,9,11,6,13,13,27,12,24,26,28,,,,,,,,,,2,48,48,3,45,29,13,61,,48,,48,,,,,
7/30/2015,91,2,312,5,,4,6,5,10,,5,9,11,15,10,17,13,,,,,,,,,,,29,29,2,26,17,5,36,,29,,29,,,,,
7/30/2015,91,3,233,2,,9,4,5,7,8,,7,17,10,5,17,6,,,,,,,,,,,20,20,,17,10,,29,,20,,20,,,,,
7/30/2015,91,4,30,,,,,,,,,,6,2,1,1,2,,,,,,,,,,,3,3,,2,2,,2,,3,,3,,,,,
7/30/2015,91,5,30,,,,,,,,,,3,2,,,4,,,,,,,,,,,3,4,,2,4,,2,,3,,3,,,,,
7/30/2015,91,6,26,,,,,,,,,,1,2,3,,3,,,,,,,,,,,3,3,,2,1,,2,,3,,3,,,,,
7/30/2015,91,2P,19,,,,,,,,,1,,,,,,,,,2,2,2,,,2,,,,1,,1,,,2,,,,2,,2,2,
7/31/2015,92,1,753,12,2,17,12,15,22,24,16,11,25,26,35,42,23,,,,,,,,,,1,67,67,3,58,41,16,84,,67,,67,,,,,
7/31/2015,92,2,467,6,,2,8,14,11,10,7,10,15,20,19,24,18,,,,,,,,,,,46,46,3,34,28,7,47,,46,,46,,,,,
7/31/2015,92,3,221,2,,5,5,6,8,1,6,3,9,14,8,18,5,,,,,,,,,,,19,19,1,12,10,6,26,,19,,19,,,,,
7/31/2015,92,4,25,,,,,,,,,,2,2,2,1,1,,,,,,,,,,,3,3,,2,1,,2,,3,,3,,,,,
7/31/2015,92,5,33,,,,,,,,,,2,5,2,2,1,,,,,,,,,,,3,3,,3,1,,5,,3,,3,,,,,
7/31/2015,92,6,7,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
7/31/2015,92,2P,67,,,2,,,,,,1,,,,,,,,,2,2,3,1,2,6,,3,3,1,3,4,,6,6,5,,4,2,4,2,3,2
8/1/2015,93,1,1217,15,,26,15,31,31,25,11,31,42,44,44,67,57,,,,4,4,4,,,4,,112,111,10,84,70,11,124,4,112,,112,4,,4,4,
8/1/2015,93,1,572,2,,15,10,16,16,14,7,17,24,23,16,29,23,,,,,,,,,,,53,53,3,44,31,7,63,,53,,53,,,,,
8/1/2015,93,2,346,11,,7,4,14,9,4,2,6,6,14,16,19,18,,,,,,,,,,,32,32,2,26,18,2,40,,32,,32,,,,,
8/1/2015,93,3,190,2,,4,1,1,6,7,2,6,7,2,8,10,12,,,,,,,,,,,19,18,3,11,15,2,16,,19,,19,,,,,
8/1/2015,93,4,32,,,,,,,,,,3,1,2,4,2,,,,,,,,,,,4,4,,1,2,,1,,4,,4,,,,,
8/1/2015,93,5,28,,,,,,,,,,2,2,1,4,2,,,,,,,,,,,3,3,,1,2,,2,,3,,3,,,,,
8/1/2015,93,6,11,,,,,,,,,,,2,1,1,,,,,,,,,,,,1,1,,1,,,2,,1,,1,,,,,
8/1/2015,93,2P,38,,,,,,,,,2,,,,,,,,,4,4,4,,,4,,,,2,,2,,,4,,,,4,,4,4,
8/2/2015,94,1,636,4,,10,19,20,15,8,20,21,21,29,29,44,19,,,,,,,,,,,54,55,5,40,25,20,70,,54,,54,,,,,
8/2/2015,94,2,265,5,,4,4,9,8,1,6,11,6,8,11,19,14,,,,,,,,,,,23,23,2,18,12,6,29,,23,,23,,,,,
8/2/2015,94,3,197,5,,4,7,3,4,4,6,,10,6,10,12,9,,,,,,,,,,,17,18,,13,10,6,19,,17,,17,,,,,
8/2/2015,94,4,49,,,,,,,,,,5,4,5,4,2,,,,,,,,,,,5,5,,4,1,,4,,5,,5,,,,,
8/2/2015,94,5,16,,,,,,,,,,2,2,1,1,,,,,,,,,,,,2,1,,2,,,2,,1,,2,,,,,
8/2/2015,94,6,8,,,,,,,,,,,,2,1,1,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
8/2/2015,94,2P,19,,,,,,,,,1,,,,,,,,,2,2,2,,,2,,,,1,,1,,,2,,,,2,,2,2,
8/3/2015,95,1,524,9,2,12,13,14,11,6,15,5,15,20,24,27,20,,,,,,,,,,2,47,46,1,41,25,15,60,,47,,47,,,,,
8/3/2015,95,2,260,3,,5,,6,6,2,4,10,8,10,10,12,12,,,,,,,,,,,26,26,2,20,16,4,26,,26,,26,,,,,
8/3/2015,95,3,172,3,,1,5,5,5,3,1,6,11,9,10,7,6,,,,,,,,,,,14,14,2,15,7,1,19,,14,,14,,,,,
8/3/2015,95,4,34,,,,,,,,,,2,2,4,,4,,,,,,,,,,,4,4,,2,2,,2,,4,,4,,,,,
8/3/2015,95,5,45,,,,,,,,,,3,2,1,4,5,,,,,,,,,,,5,6,,1,5,,2,,6,,5,,,,,
8/3/2015,95,6,9,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
8/3/2015,95,2P,20,,,,,,,,,,,,,,,,,,2,,2,2,2,2,,,,,,2,,,2,,,,2,,,2,2
8/4/2015,96,1,482,8,,11,16,3,16,11,5,10,20,12,13,25,26,,,,,,,,,,,43,43,2,40,31,5,56,,43,,43,,,,,
8/4/2015,96,2,238,1,,3,4,5,5,5,3,4,12,9,13,11,11,,,,,,,,,,,24,24,1,19,10,3,23,,24,,24,,,,,
8/4/2015,96,3,193,,2,1,2,6,4,5,6,7,5,7,7,11,7,,,,,,,,,,2,20,20,,11,10,6,14,,20,,20,,,,,
8/4/2015,96,4,37,,,,,,,,,,5,2,1,3,1,,,,2,,2,2,,,,2,2,,2,3,,2,,2,,2,2,,,2,
8/4/2015,96,5,25,,,,,,,,,,1,3,4,2,2,,,,,,,,,,,2,2,,2,,,3,,2,,2,,,,,
8/4/2015,96,2P,57,4,,,,,,,,,,,,,,2,2,,2,,1,1,,6,,3,5,,2,5,,2,6,7,,4,2,2,,1,
8/5/2015,97,1,365,3,,5,2,4,10,11,6,11,14,14,19,26,13,,,,,,,,,,,36,36,1,22,20,6,34,,36,,36,,,,,
8/5/2015,97,2,207,,,1,,4,9,7,3,5,6,7,7,12,15,,,,,,,,,,,19,19,1,15,15,3,21,,19,,19,,,,,
8/5/2015,97,3,185,,,3,2,3,5,2,2,4,7,8,6,9,7,,,,,,,,,,,21,21,,13,11,2,17,,21,,21,,,,,
8/5/2015,97,4,39,,,,,,,,,,1,3,3,4,5,,,,,,,,,,,4,4,,1,3,,3,,4,,4,,,,,
8/5/2015,97,5,4,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
8/5/2015,97,6,7,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,1,,,,1,,1,,,,,
8/5/2015,97,2P,22,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,2,2,,2,2,3,,3,,2,,,
8/6/2015,98,1,442,5,2,8,12,4,11,9,8,13,14,16,18,22,21,,,,,,,,,,2,42,41,3,30,24,8,45,,42,,42,,,,,
8/6/2015,98,2,164,1,,2,6,6,1,3,1,4,9,8,8,8,9,,,,,,,,,,,15,15,,13,6,1,18,,15,,15,,,,,
8/6/2015,98,3,173,1,4,2,1,,1,6,8,5,9,4,7,8,8,,,,,,,,,,2,18,18,1,7,10,8,9,,18,,18,,,,,
8/6/2015,98,4,28,,,,,,,,,,3,2,3,2,2,,,,,,,,,,,3,3,,1,1,,2,,3,,3,,,,,
8/6/2015,98,5,9,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
8/6/2015,98,6,12,,,,,,,,,,,2,1,3,,,,,,,,,,,,1,1,,,,,2,,1,,1,,,,,
8/6/2015,98,2P,89,,,,,,,,2,1,,,,,,,,,4,4,6,4,2,8,,2,4,1,2,7,2,4,8,5,,3,4,4,4,6,2
8/7/2015,99,1,553,4,2,7,16,16,10,7,13,23,26,13,14,34,22,,,,,,,,,,1,54,55,1,32,29,13,53,,54,,54,,,,,
8/7/2015,99,2,381,5,,6,6,7,9,6,6,8,19,14,14,26,18,,,,,,,,,,,36,36,,27,20,6,40,,36,,36,,,,,
8/7/2015,99,3,215,3,,,4,3,2,7,9,3,7,9,8,13,6,,,,,,,,,,,21,21,1,13,17,9,17,,21,,21,,,,,
8/7/2015,99,4,40,,,,,,,,,,1,3,2,3,3,,,,,,,,,,,5,5,,2,3,,3,,5,,5,,,,,
8/7/2015,99,5,35,,,,,,,,,,3,2,4,2,2,,,,,,,,,,,4,4,,2,1,,3,,4,,4,,,,,
8/7/2015,99,6,10,,,,,,,,,,1,,2,2,1,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
8/7/2015,99,2P,27,,,,,,,,,,,,,,,1,1,2,2,,1,1,,2,,1,1,,,1,,1,2,3,2,3,2,,,1,
8/8/2015,100,1,633,6,,18,16,12,15,7,14,20,31,15,29,30,26,,,,,,,,,,,57,57,5,48,32,14,67,,57,,57,,,,,
8/8/2015,100,2,220,3,,3,5,4,10,5,5,1,6,10,8,16,8,,,,,,,,,,,19,19,,15,13,5,27,,19,,19,,,,,
8/8/2015,100,3,133,2,6,,1,3,4,1,1,2,5,3,7,6,6,,,,,,,,,,3,13,13,1,10,7,1,12,,13,,13,,,,,
8/8/2015,100,4,4,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2015,100,5,34,,,,,,,,,,2,5,2,1,3,,,,,,,,,,,3,3,,3,2,,4,,3,,3,,,,,
8/8/2015,100,6,9,,,,,,,,,,,1,1,2,,,,,,,,,,,,1,1,,,,,1,,1,,1,,,,,
8/8/2015,100,2P,68,,,,,,,,,2,,,,,,,,2,4,4,4,2,2,4,,2,2,2,2,4,,3,4,3,2,3,4,2,4,5,2
8/9/2015,101,1,658,3,1,14,16,16,19,12,7,15,21,22,28,30,23,,,,,,,,,,1,63,63,,60,32,7,79,,63,,63,,,,,
8/9/2015,101,2,201,7,,3,2,6,6,,7,4,13,6,10,10,5,,,,,,,,,,,16,16,1,16,7,7,27,,16,,16,,,,,
8/9/2015,101,3,229,4,2,3,1,3,8,12,3,4,7,7,10,11,8,,,,,,,,,,1,23,23,,15,14,3,21,,23,,23,,,,,
8/9/2015,101,4,47,,,,,,,,,,4,4,4,3,3,,,,,,,,,,,5,5,,3,2,,4,,5,,5,,,,,
8/9/2015,101,5,30,,,,,,,,,,2,1,3,1,3,,,,,,,,,,,4,4,,1,2,,1,,4,,4,,,,,
8/9/2015,101,6,6,,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
8/9/2015,101,2P,58,,,,,2,,4,,,,,,,,,,,4,,6,6,2,6,,,,,,4,,4,6,,,,4,2,,6,2
8/10/2015,102,1,490,1,2,13,11,16,12,4,8,17,20,19,19,28,20,,,,,,,,,,1,42,42,3,41,23,8,56,,42,,42,,,,,
8/10/2015,102,2,257,2,,5,9,6,4,4,1,5,13,7,11,8,14,,,,,,,,,,,25,25,,24,16,1,27,,25,,25,,,,,
8/10/2015,102,3,218,,2,2,5,4,6,6,5,5,8,5,9,14,4,,,,,,,,,,1,22,22,1,14,13,5,21,,22,,22,,,,,
8/10/2015,102,4,25,,,,,,,,,,,1,1,2,4,,,,,,,,,,,3,3,,1,3,,1,,3,,3,,,,,
8/10/2015,102,5,9,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
8/10/2015,102,2P,86,,,,,2,,,,1,,,,,,,,2,2,4,6,6,2,8,,2,2,1,2,3,,7,8,3,2,3,2,4,4,8,2
8/11/2015,103,1,478,4,2,3,12,10,11,10,9,17,16,15,24,28,19,,,,,,,,,,1,45,45,1,32,26,9,49,,45,,45,,,,,
8/11/2015,103,2,243,1,,2,4,8,4,5,4,5,15,8,12,12,15,,,,,,,,,,,22,22,2,17,14,4,23,,22,,22,,,,,
8/11/2015,103,3,177,1,,2,4,3,4,7,5,2,5,7,10,14,3,,,,,,,,,,,16,16,,12,8,5,21,,16,,16,,,,,
8/11/2015,103,4,29,,,,,,,,,,3,2,1,4,2,,,,,,,,,,,3,3,,1,2,,2,,3,,3,,,,,
8/11/2015,103,5,25,,,,,,,,,,2,2,2,1,1,,,,,,,,,,,3,3,,2,1,,2,,3,,3,,,,,
8/11/2015,103,6,24,,,,,,,,,,1,2,2,1,4,,,,,,,,,,,2,2,,2,2,,2,,2,,2,,,,,
8/11/2015,103,2P,136,,,2,,,,,,2,,,,,,,,4,6,6,6,6,4,8,,4,8,2,4,8,,8,8,10,4,8,6,4,6,8,4
8/12/2015,104,1,501,3,,9,11,14,8,14,8,13,11,16,21,30,17,,,,,,,,,,,51,51,2,35,29,8,48,,51,,51,,,,,
8/12/2015,104,2,188,3,,3,4,4,4,1,2,3,7,7,7,6,10,,,,,,,,,,,20,20,,15,11,2,19,,20,,20,,,,,
8/12/2015,104,3,152,3,,3,4,3,1,4,3,1,7,2,4,8,7,,,,,,,,,,,15,15,,13,10,3,16,,15,,15,,,,,
8/12/2015,104,4,43,,,,,,,,,,2,3,3,2,4,,,,,,,,,,,5,5,,3,3,,3,,5,,5,,,,,
8/12/2015,104,5,21,,,,,,,,,,3,2,1,1,1,,,,,,,,,,,2,2,,2,1,,2,,2,,2,,,,,
8/12/2015,104,6,8,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,
8/12/2015,104,2P,68,,,,,,,,,2,,,,,,,,2,4,4,4,2,2,4,,2,2,2,2,4,,3,4,3,2,3,4,2,4,5,2
8/13/2015,105,1,346,3,,6,8,14,11,4,2,8,10,14,12,23,22,,,,,,,,,,,28,28,4,25,23,2,43,,28,,28,,,,,
8/13/2015,105,2,153,4,,1,4,3,2,,4,2,4,4,9,12,7,,,,,,,,,,,14,14,1,10,8,4,18,,14,,14,,,,,
8/13/2015,105,3,128,1,2,1,,5,,10,1,4,7,5,4,6,4,,,,,,,,,,1,13,13,1,6,9,1,8,,13,,13,,,,,
8/13/2015,105,4,19,,,,,,,,,,,1,2,2,,,,,,,,,,,,3,3,,1,,,1,,3,,3,,,,,
8/13/2015,105,5,15,,,,,,,,,,1,1,1,,1,,,,,,,,,,,2,2,,1,1,,1,,2,,2,,,,,
8/13/2015,105,2P,49,,,,,,,,,1,,,,,,,,2,2,2,2,2,2,2,,2,2,1,2,3,,3,2,3,2,3,2,2,2,3,2
8/14/2015,106,1,488,10,,5,6,15,8,13,9,19,20,15,16,33,21,,,,,,,,,,,44,44,2,31,30,9,50,,44,,44,,,,,
8/14/2015,106,2,326,5,,4,4,7,5,5,5,8,15,17,14,13,12,,,,,,,,,,,32,32,1,28,16,5,34,,32,,32,,,,,
8/14/2015,106,3,166,,,3,2,6,4,4,2,2,7,7,6,9,9,,,,,,,,,,,16,16,1,12,11,2,15,,16,,16,,,,,
8/14/2015,106,4,16,,,,,,,,,,1,1,3,1,3,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
8/14/2015,106,5,2,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2015,106,6,6,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
8/14/2015,106,2P,36,,,,,,,,2,,,,,,,,,,2,2,4,2,2,4,,,,,,2,2,,4,,,,2,,2,4,2
8/15/2015,107,1,536,3,2,17,7,9,15,12,7,15,15,18,23,35,20,,,,,,,,,,2,53,53,3,32,29,7,53,,53,,53,,,,,
8/15/2015,107,2,197,5,,6,1,5,3,6,1,2,10,10,10,13,11,,,,,,,,,,,16,16,1,17,9,1,22,,16,,16,,,,,
8/15/2015,107,3,219,2,,6,2,5,3,4,1,10,12,6,10,15,7,,,,,,,,,,,21,21,3,15,11,1,22,,21,,21,,,,,
8/15/2015,107,4,34,,,,,,,,,,2,2,1,,5,,,,,,,,,,,4,4,,2,4,,2,,4,,4,,,,,
8/15/2015,107,5,13,,,,,,,,,,1,1,2,3,1,,,,,,,,,,,1,1,,,,,1,,1,,1,,,,,
8/15/2015,107,6,2,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2015,107,2P,39,,,,,,,,,1,,,,,,,,,4,2,4,2,2,4,,,,1,,3,,,4,,,,4,,2,4,2
8/16/2015,108,1,523,10,4,13,7,10,15,14,7,9,18,17,21,29,20,,,,,,,,,,4,49,49,1,39,24,7,58,,49,,49,,,,,
8/16/2015,108,2,236,1,2,5,5,1,7,3,6,5,11,5,14,10,14,,,,,,,,,,,22,22,1,17,12,6,23,,22,,22,,,,,
8/16/2015,108,3,204,2,,8,4,1,4,4,5,5,10,5,7,15,7,,,,,,,,,,,20,20,,13,10,5,19,,20,,20,,,,,
8/16/2015,108,4,2,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/2015,108,5,29,,,,,,,,,,,1,4,3,2,,,,,,,,,,,4,4,,1,1,,1,,4,,4,,,,,
8/16/2015,108,2P,88,,,2,,,,,,,,,,,,,,,4,2,4,4,2,8,,4,4,,4,8,,6,8,6,,6,4,4,2,4,2
8/17/2015,109,1,391,4,2,4,11,7,6,3,9,6,12,14,19,27,14,,,,,,,,,,1,39,39,,27,18,9,42,,39,,39,,,,,
8/17/2015,109,2,171,2,2,4,4,9,1,1,,1,6,2,9,17,6,,,,,,,,,,2,17,17,1,9,7,,20,,17,,17,,,,,
8/17/2015,109,3,158,2,,4,2,5,2,1,2,7,10,10,8,6,8,,,,,,,,,,,12,12,4,13,7,2,17,,12,,12,,,,,
8/17/2015,109,4,36,,,,,,,,,,3,2,3,3,3,,,,,,,,,,,4,4,,2,2,,2,,4,,4,,,,,
8/17/2015,109,5,31,,,,,,,,,,,2,4,2,2,,,,,,,,,,,4,4,,2,1,,2,,4,,4,,,,,
8/17/2015,109,2P,93,,,,2,,,,,2,,,,,,1,1,2,6,4,5,3,2,6,,3,5,2,2,5,,4,6,6,2,4,6,2,4,6,2
8/18/2015,110,1,508,2,4,6,13,17,16,12,8,5,26,19,19,29,14,,,,,,,,,,4,48,48,1,34,26,8,53,,48,,48,,,,,
8/18/2015,110,2,255,3,,8,2,3,6,4,1,7,12,12,11,12,19,,,,,,,,,,,22,22,2,20,15,1,29,,22,,22,,,,,
8/18/2015,110,3,136,4,,5,,2,4,3,1,1,9,6,6,10,4,,,,,,,,,,,12,12,,9,6,1,17,,12,,12,,,,,
8/18/2015,110,4,46,,,,,,,,,,3,1,3,2,4,,,,,,,,,,,6,7,,1,4,,1,,7,,7,,,,,
8/18/2015,110,5,12,,,,,,,,,,2,,2,,,,,,,,,,,,,2,2,,,,,,,2,,2,,,,,
8/18/2015,110,6,2,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/2015,110,2P,19,,,,,,,,,1,,,,,,,,,2,2,2,,,2,,,,1,,1,,,2,,,,2,,2,2,
8/19/2015,111,1,522,4,,8,11,17,15,9,13,9,19,22,21,34,20,,,,,,,,,,,44,44,3,39,28,13,61,,44,,44,,,,,
8/19/2015,111,2,168,2,,2,3,3,4,2,4,1,6,9,6,9,7,,,,,,,,,,,16,16,,14,10,4,18,,16,,16,,,,,
8/19/2015,111,3,143,1,,2,,3,4,2,4,7,1,5,6,8,5,,,,,,,,,,,14,14,1,10,9,4,15,,14,,14,,,,,
8/19/2015,111,4,61,,,,,,,,,,4,3,4,4,4,,,,,,,,,,,9,8,,2,4,,3,,8,,8,,,,,
8/19/2015,111,5,12,,,,,,,,,,3,1,1,1,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,
8/19/2015,111,6,4,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
8/19/2015,111,2P,33,,,,,,,,,1,,,,,,,,,2,2,4,2,,4,,,,1,,1,,2,4,,,,2,2,2,4,
8/20/2015,112,1,392,3,2,2,6,9,18,6,6,7,12,11,15,21,14,,,,,,,,,,2,38,38,2,31,21,6,46,,38,,38,,,,,
8/20/2015,112,2,183,7,,1,4,4,7,,4,4,13,5,8,8,7,,,,,,,,,,,15,15,1,15,8,4,23,,15,,15,,,,,
8/20/2015,112,3,167,1,,3,6,1,7,5,,3,7,6,9,13,6,,,,,,,,,,,16,16,,11,6,,19,,16,,16,,,,,
8/20/2015,112,4,37,,,,,,,,,,3,1,2,3,1,,,,2,,2,2,,,,3,3,,1,3,,1,,3,,3,2,,,2,
8/20/2015,112,6,15,,,,,,,,,,2,1,1,2,2,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
8/20/2015,112,2P,39,,,,,,,,,1,,,,,,,,,4,2,4,2,2,4,,,,1,,3,,,4,,,,4,,2,4,2
8/21/2015,113,1,461,2,,5,11,10,14,17,2,23,21,15,17,24,22,,,,,,,,,,,42,42,4,30,28,2,46,,42,,42,,,,,
8/21/2015,113,2,262,1,,4,3,6,6,3,9,3,7,13,9,19,11,,,,,,,,,,,25,25,1,14,19,9,25,,25,,25,,,,,
8/21/2015,113,3,171,,,4,4,5,3,3,2,4,6,5,11,8,5,,,,,,,,,,,17,17,1,14,8,2,18,,17,,17,,,,,
8/21/2015,113,4,38,,,,,,,,,,3,4,5,2,4,,,,,,,,,,,3,3,,3,1,,4,,3,,3,,,,,
8/21/2015,113,5,20,,,,,,,,,,1,,1,2,2,,,,,,,,,,,3,3,,,2,,,,3,,3,,,,,
8/21/2015,113,6,29,,,,,,,,,,,1,4,3,2,,,,,,,,,,,4,4,,1,1,,1,,4,,4,,,,,
8/21/2015,113,2P,79,,,,,2,,,,,,,,,,1,1,4,,,4,4,,8,,4,4,,2,4,,6,8,6,6,6,,4,,5,
8/22/2015,114,1,455,9,,6,8,14,10,11,7,10,18,15,16,25,21,,,,,,,,,,,40,40,2,34,28,7,54,,40,,40,,,,,
8/22/2015,114,2,259,2,,4,6,8,8,4,4,6,7,8,16,16,13,,,,,,,,,,,25,25,3,14,13,4,23,,25,,25,,,,,
8/22/2015,114,3,165,1,5,3,2,3,6,,1,6,6,1,9,13,6,,,,,,,,,,3,17,17,1,8,6,1,16,,17,,17,,,,,
8/22/2015,114,4,42,,,,,,,,,,2,5,3,3,3,,,,,,,,,,,4,4,,3,2,,5,,4,,4,,,,,
8/22/2015,114,5,9,,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,1,1,,1,,1,,1,,,,,
8/22/2015,114,6,6,,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,
8/22/2015,114,2P,89,,,,,,,,,1,,,,,,,,2,6,2,6,6,6,6,,2,2,1,2,7,,3,6,3,2,3,6,2,2,7,6
8/23/2015,115,1,486,7,2,9,16,12,9,8,9,4,14,21,20,35,21,,,,,,,,,,2,46,46,,31,24,9,49,,46,,46,,,,,
8/23/2015,115,2,291,6,,6,10,8,6,5,2,6,10,11,15,16,10,,,,,,,,,,,24,24,1,29,11,2,41,,24,,24,,,,,
8/23/2015,115,3,208,2,,5,2,4,5,2,4,4,5,8,10,6,13,,,,,,,,,,,21,21,1,17,12,4,20,,21,,21,,,,,
8/23/2015,115,4,34,,,,,,,,,,3,2,3,1,3,,,,,,,,,,,4,4,,2,2,,2,,4,,4,,,,,
8/23/2015,115,5,33,,,,,,,,,,3,4,2,2,1,,,,,,,,,,,3,3,,4,1,,4,,3,,3,,,,,
8/23/2015,115,2P,14,,,,2,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,2,2,,,,,,,2,
8/24/2015,116,1,481,8,,9,16,6,12,11,9,15,22,19,10,27,18,,,,,,,,,,,43,43,2,36,27,9,53,,43,,43,,,,,
8/24/2015,116,2,282,5,,8,9,3,14,3,3,3,12,4,12,14,13,,,,,,,,,,,24,24,1,25,15,3,39,,24,,24,,,,,
8/24/2015,116,3,195,1,1,1,2,4,1,2,9,6,9,10,3,7,8,,,,,,,,,,1,19,19,,15,13,9,17,,19,,19,,,,,
