date,Campsite,site_num,1,2,3,4,5,6,2P
7/19/2015,camping6,5,12,3,6,,,,
7/19/2015,camping7,6,10,4,7,,,,
7/19/2015,camping8,7,13,16,5,,,,1
7/19/2015,entrance0,8,22,19,6,4,1,,
7/19/2015,entrance1,9,11,6,10,5,3,,
7/19/2015,entrance2,10,28,15,10,3,6,1,
7/19/2015,entrance3,11,30,18,17,4,4,,
7/19/2015,entrance4,12,17,18,5,4,3,1,
7/19/2015,gate0,39,,,,,,,2
7/19/2015,gate1,40,,,,,,,2
7/19/2015,gate3,13,,,,,,,4
7/19/2015,gate4,14,,,,,,,2
7/19/2015,gate5,15,,,,,,,6
7/19/2015,gate6,33,,,,,,,4
7/19/2015,gate7,34,,,,,,,2
7/19/2015,gate8,16,,,,,,,6
7/19/2015,general-gate1,17,58,30,23,5,6,,2
7/19/2015,general-gate2,18,58,30,23,5,6,,
7/19/2015,general-gate3,19,3,2,,,,,1
7/19/2015,general-gate4,20,41,26,21,3,3,,
7/19/2015,general-gate5,21,31,17,12,3,2,,3
7/19/2015,general-gate6,22,10,4,7,,,,
7/19/2015,general-gate7,23,55,40,32,5,3,,2
7/19/2015,ranger-base,24,,,,,,,6
7/19/2015,ranger-stop0,25,58,30,23,5,6,,4
7/19/2015,ranger-stop2,26,58,30,23,5,6,,2
7/19/2015,ranger-stop3,27,,,,,,,4
7/19/2015,ranger-stop5,29,,,,,,,2
7/19/2015,ranger-stop6,30,,,,,,,6
7/19/2015,ranger-stop7,36,,,,,,,2
7/20/2015,camping0,1,9,4,3,,,,
7/20/2015,camping1,37,5,,,,,,
7/20/2015,camping2,2,14,8,3,,,,
7/20/2015,camping3,3,6,5,7,,,,
7/20/2015,camping4,31,14,4,9,,,,
7/20/2015,camping5,4,16,5,4,,,,
7/20/2015,camping6,5,4,4,2,,,,
7/20/2015,camping7,6,7,3,2,,,,2
7/20/2015,camping8,7,15,10,6,,,,
7/20/2015,entrance0,8,21,9,6,1,3,,
7/20/2015,entrance1,9,20,13,11,1,2,,
7/20/2015,entrance2,10,24,6,12,3,1,1,
7/20/2015,entrance3,11,24,17,11,3,3,,
7/20/2015,entrance4,12,22,15,10,2,2,2,
7/20/2015,gate3,13,,,,,,,4
7/20/2015,gate5,15,,,,,,,3
7/20/2015,gate6,33,,,,,,,3
7/20/2015,gate7,34,,,,,,,4
7/20/2015,gate8,16,,,,,,,4
7/20/2015,general-gate0,38,4,,,,,,
7/20/2015,general-gate1,17,49,26,22,3,3,,1
7/20/2015,general-gate2,18,49,26,22,3,3,1,1
7/20/2015,general-gate3,19,4,2,1,,,,
7/20/2015,general-gate4,20,42,21,16,,2,,1
7/20/2015,general-gate5,21,26,19,9,1,2,1,5
7/20/2015,general-gate6,22,11,3,2,,,,2
7/20/2015,general-gate7,23,59,30,25,1,2,,
7/20/2015,ranger-base,24,,,,,,,4
7/20/2015,ranger-stop0,25,49,26,22,3,3,,2
7/20/2015,ranger-stop2,26,49,26,22,3,3,,1
7/20/2015,ranger-stop3,27,,,,,,,4
7/20/2015,ranger-stop6,30,,,,,,,3
7/20/2015,ranger-stop7,36,,,,,,,4
7/21/2015,camping0,1,3,2,2,,,,
7/21/2015,camping1,37,1,1,,,,,
7/21/2015,camping2,2,12,6,1,,,,
7/21/2015,camping3,3,7,4,5,,,,
7/21/2015,camping4,31,10,8,8,,,,
7/21/2015,camping5,4,20,5,6,,,,
7/21/2015,camping6,5,12,1,3,,,,
7/21/2015,camping7,6,8,4,1,,,,
7/21/2015,camping8,7,13,8,6,,,,2
7/21/2015,entrance0,8,25,9,7,4,2,1,
7/21/2015,entrance1,9,19,5,5,4,1,1,
7/21/2015,entrance2,10,14,11,7,5,1,1,
7/21/2015,entrance3,11,31,12,16,1,1,,
7/21/2015,entrance4,12,18,14,5,4,4,,
7/21/2015,gate2,32,,,,,,,2
7/21/2015,gate3,13,,,,,,,4
7/21/2015,gate4,14,,,,,,,6
7/21/2015,gate5,15,,,,,,,4
7/21/2015,gate6,33,,,,,,,4
7/21/2015,gate7,34,,,,,,,2
7/21/2015,gate8,16,,,,,,,6
7/21/2015,general-gate0,38,1,1,,,,,
7/21/2015,general-gate1,17,44,19,16,3,3,2,2
7/21/2015,general-gate2,18,44,19,16,3,3,1,4
7/21/2015,general-gate3,19,1,2,,,,,2
7/21/2015,general-gate4,20,40,17,13,3,1,1,2
7/21/2015,general-gate5,21,23,11,6,1,3,,6
7/21/2015,general-gate6,22,8,4,1,,,,
7/21/2015,general-gate7,23,61,26,21,4,1,1,5
7/21/2015,ranger-base,24,,,,,,,6
7/21/2015,ranger-stop0,25,44,19,16,3,3,2,5
7/21/2015,ranger-stop1,35,,,,,,,2
7/21/2015,ranger-stop2,26,44,19,16,3,3,2,5
7/21/2015,ranger-stop3,27,,,,,,,4
7/21/2015,ranger-stop4,28,,,,,,,4
7/21/2015,ranger-stop5,29,,,,,,,6
7/21/2015,ranger-stop6,30,,,,,,,5
7/21/2015,ranger-stop7,36,,,,,,,2
7/22/2015,camping0,1,12,2,5,,,,2
7/22/2015,camping1,37,,,2,,,,
7/22/2015,camping2,2,7,3,5,,,,
7/22/2015,camping3,3,7,3,4,,,,
7/22/2015,camping4,31,13,8,3,,,,
7/22/2015,camping5,4,17,13,3,,,,
7/22/2015,camping6,5,7,5,,,,,2
7/22/2015,camping7,6,10,1,4,,,,2
7/22/2015,camping8,7,14,5,6,,,,1
7/22/2015,entrance0,8,21,8,10,2,1,1,
7/22/2015,entrance1,9,21,13,3,1,3,2,
7/22/2015,entrance2,10,23,7,8,3,1,,
7/22/2015,entrance3,11,20,14,8,2,2,1,
7/22/2015,entrance4,12,22,10,11,,1,,
7/22/2015,gate0,39,,,,,,,2
7/22/2015,gate1,40,,,,,,,2
7/22/2015,gate2,32,,,,,,,2
7/22/2015,gate3,13,,,,,,,4
7/22/2015,gate4,14,,,,,,,2
7/22/2015,gate5,15,,,,,,,4
7/22/2015,gate6,33,,,,,,,4
7/22/2015,gate7,34,,,,,,,2
7/22/2015,gate8,16,,,,,,,4
7/22/2015,general-gate0,38,,,1,,,,
7/22/2015,general-gate1,17,46,16,13,3,2,,2
7/22/2015,general-gate2,18,46,16,13,3,2,,2
7/22/2015,general-gate3,19,4,1,2,,,,1
7/22/2015,general-gate4,20,41,18,14,1,2,1,2
7/22/2015,general-gate5,21,25,11,9,,1,,5
7/22/2015,general-gate6,22,10,1,4,,,,2
7/22/2015,general-gate7,23,58,34,19,1,3,2,3
7/22/2015,ranger-base,24,,,,,,,4
7/22/2015,ranger-stop0,25,46,16,13,3,2,,3
7/22/2015,ranger-stop1,35,,,,,,,2
7/22/2015,ranger-stop2,26,46,16,13,3,2,,3
7/22/2015,ranger-stop3,27,,,,,,,4
7/22/2015,ranger-stop4,28,,,,,,,2
7/22/2015,ranger-stop5,29,,,,,,,2
7/22/2015,ranger-stop6,30,,,,,,,5
7/22/2015,ranger-stop7,36,,,,,,,2
7/23/2015,camping0,1,10,3,10,,,,2
7/23/2015,camping1,37,4,2,,,,,
7/23/2015,camping2,2,10,3,,,,,4
7/23/2015,camping3,3,12,2,4,,,,
7/23/2015,camping4,31,19,5,3,,,,
7/23/2015,camping5,4,17,6,5,,,,
7/23/2015,camping6,5,14,5,2,,,,
7/23/2015,camping7,6,14,3,5,,,,
7/23/2015,camping8,7,15,9,5,,,,2
7/23/2015,entrance0,8,28,8,6,,2,1,
7/23/2015,entrance1,9,21,18,8,2,2,1,
7/23/2015,entrance2,10,29,13,12,5,2,3,
7/23/2015,entrance3,11,30,12,6,4,2,3,
7/23/2015,entrance4,12,25,11,10,2,1,,
7/23/2015,gate3,13,,,,2,,,
7/23/2015,gate5,15,,,,2,,,2
7/23/2015,gate6,33,,,,2,,,2
7/23/2015,gate8,16,,,,,,,4
7/23/2015,general-gate0,38,3,1,,,,,
7/23/2015,general-gate1,17,67,27,20,3,3,3,
7/23/2015,general-gate2,18,67,27,20,3,3,3,
7/23/2015,general-gate3,19,1,2,2,,,,
7/23/2015,general-gate4,20,58,27,22,2,2,,
7/23/2015,general-gate5,21,37,11,10,2,1,,2
7/23/2015,general-gate6,22,14,3,5,,,,
7/23/2015,general-gate7,23,78,33,28,2,3,1,3
7/23/2015,ranger-base,24,,,,,,,4
7/23/2015,ranger-stop0,25,67,27,20,3,3,3,
7/23/2015,ranger-stop2,26,67,27,20,3,3,3,
7/23/2015,ranger-stop3,27,,,,2,,,
7/23/2015,ranger-stop4,28,,,,,,,2
7/23/2015,ranger-stop6,30,,,,2,,,2
7/24/2015,camping0,1,9,2,5,,,,
7/24/2015,camping1,37,5,2,,,,,
7/24/2015,camping2,2,14,5,4,,,,
7/24/2015,camping3,3,18,1,10,,,,
7/24/2015,camping4,31,18,8,8,,,,
7/24/2015,camping5,4,19,17,5,,,,
7/24/2015,camping6,5,21,6,7,,,,
7/24/2015,camping7,6,14,7,2,,,,
7/24/2015,camping8,7,13,8,8,,,,1
7/24/2015,entrance0,8,40,17,10,3,1,2,
7/24/2015,entrance1,9,21,12,7,2,1,3,
7/24/2015,entrance2,10,30,12,13,2,2,2,
7/24/2015,entrance3,11,38,17,19,4,2,2,
7/24/2015,entrance4,12,27,18,8,2,1,1,
7/24/2015,gate3,13,,,,,,,4
7/24/2015,gate4,14,,,,,,,2
7/24/2015,gate5,15,,,,,,,4
7/24/2015,gate6,33,,,,,,,2
7/24/2015,gate7,34,,,,,,,2
7/24/2015,gate8,16,,,,,,,6
7/24/2015,general-gate0,38,,1,,,,,
7/24/2015,general-gate1,17,63,31,24,4,3,3,2
7/24/2015,general-gate2,18,63,31,24,4,3,3,2
7/24/2015,general-gate3,19,4,2,3,,,,1
7/24/2015,general-gate4,20,64,26,21,1,,2,2
7/24/2015,general-gate5,21,47,20,14,2,1,1,5
7/24/2015,general-gate6,22,14,7,2,,,,
7/24/2015,general-gate7,23,90,37,35,2,,3,2
7/24/2015,ranger-base,24,,,,,,,6
7/24/2015,ranger-stop0,25,63,31,24,4,3,3,3
7/24/2015,ranger-stop2,26,63,31,24,4,3,3,3
7/24/2015,ranger-stop3,27,,,,,,,4
7/24/2015,ranger-stop4,28,,,,,,,2
7/24/2015,ranger-stop5,29,,,,,,,2
7/24/2015,ranger-stop6,30,,,,,,,4
7/24/2015,ranger-stop7,36,,,,,,,2
7/25/2015,camping0,1,5,6,2,,,,
7/25/2015,camping1,37,,2,,,,,
7/25/2015,camping2,2,12,3,4,,,,
7/25/2015,camping3,3,6,3,3,,,,
7/25/2015,camping4,31,17,7,4,,,,
7/25/2015,camping5,4,21,11,7,,,,
7/25/2015,camping6,5,18,3,5,,,,
7/25/2015,camping7,6,8,3,5,,,,2
7/25/2015,camping8,7,18,7,4,,,,1
7/25/2015,entrance0,8,15,17,5,4,1,,
7/25/2015,entrance1,9,22,12,3,,2,,
7/25/2015,entrance2,10,34,20,10,3,2,1,
7/25/2015,entrance3,11,34,12,17,,2,2,
7/25/2015,entrance4,12,21,11,5,3,3,,
7/25/2015,gate2,32,,,,,,,2
7/25/2015,gate3,13,,,,,,,2
7/25/2015,gate4,14,,,,,,,2
7/25/2015,gate5,15,,,,,,,2
7/25/2015,gate6,33,,,,,,,2
7/25/2015,gate7,34,,,,,,,2
7/25/2015,gate8,16,,,,,,,4
7/25/2015,general-gate0,38,,1,,,,,
7/25/2015,general-gate1,17,60,35,21,4,1,1,2
7/25/2015,general-gate2,18,60,35,21,4,1,1,2
7/25/2015,general-gate3,19,3,,,,,,1
7/25/2015,general-gate4,20,45,29,14,,1,,2
7/25/2015,general-gate5,21,28,15,10,2,1,,3
7/25/2015,general-gate6,22,8,3,5,,,,2
7/25/2015,general-gate7,23,68,35,21,,2,,3
7/25/2015,ranger-base,24,,,,,,,4
7/25/2015,ranger-stop0,25,60,35,21,4,1,1,3
7/25/2015,ranger-stop1,35,,,,,,,2
7/25/2015,ranger-stop2,26,60,35,21,4,1,1,3
7/25/2015,ranger-stop3,27,,,,,,,2
7/25/2015,ranger-stop4,28,,,,,,,2
7/25/2015,ranger-stop5,29,,,,,,,2
7/25/2015,ranger-stop6,30,,,,,,,3
7/25/2015,ranger-stop7,36,,,,,,,2
7/26/2015,camping0,1,5,3,1,,,,2
7/26/2015,camping1,37,1,3,,,,,
7/26/2015,camping2,2,8,6,1,,,,2
7/26/2015,camping3,3,17,6,6,,,,
7/26/2015,camping4,31,21,15,6,,,,
7/26/2015,camping5,4,8,9,10,,,,
7/26/2015,camping6,5,12,5,3,,,,2
7/26/2015,camping7,6,11,8,10,,,,
7/26/2015,camping8,7,21,3,13,,,,1
7/26/2015,entrance0,8,24,11,9,1,1,1,
7/26/2015,entrance1,9,20,16,8,3,3,,
7/26/2015,entrance2,10,22,18,16,1,1,1,
7/26/2015,entrance3,11,30,12,15,1,,1,
7/26/2015,entrance4,12,26,18,8,2,1,,
7/26/2015,gate0,39,,,,,,,1
7/26/2015,gate1,40,,,,,,,1
7/26/2015,gate2,32,,,,,,,4
7/26/2015,gate3,13,,,,,,,4
7/26/2015,gate4,14,,,,,,,4
7/26/2015,gate5,15,,,,,,,8
7/26/2015,gate6,33,,,,,,,8
7/26/2015,gate7,34,,,,,,,4
7/26/2015,gate8,16,,,,,,,8
7/26/2015,general-gate0,38,,2,,,,,
7/26/2015,general-gate1,17,57,38,32,3,2,1,2
7/26/2015,general-gate2,18,57,38,32,3,2,1,2
7/26/2015,general-gate3,19,5,2,1,,,,1
7/26/2015,general-gate4,20,48,32,22,2,3,,2
7/26/2015,general-gate5,21,36,21,13,2,1,,5
7/26/2015,general-gate6,22,11,8,10,,,,
7/26/2015,general-gate7,23,65,41,27,3,3,,6
7/26/2015,ranger-base,24,,,,,,,8
7/26/2015,ranger-stop0,25,57,38,32,3,2,1,3
7/26/2015,ranger-stop1,35,,,,,,,4
7/26/2015,ranger-stop2,26,57,38,32,3,2,1,3
7/26/2015,ranger-stop3,27,,,,,,,4
7/26/2015,ranger-stop4,28,,,,,,,2
7/26/2015,ranger-stop5,29,,,,,,,4
7/26/2015,ranger-stop6,30,,,,,,,10
7/26/2015,ranger-stop7,36,,,,,,,4
7/27/2015,camping0,1,8,7,3,,,,
7/27/2015,camping2,2,12,3,2,,,,
7/27/2015,camping3,3,9,4,5,,,,
7/27/2015,camping4,31,11,3,2,,,,
7/27/2015,camping5,4,10,10,8,,,,
7/27/2015,camping6,5,7,3,1,,,,
7/27/2015,camping7,6,9,4,6,,,,
7/27/2015,camping8,7,22,7,9,,,,4
7/27/2015,entrance0,8,18,9,5,1,,,
7/27/2015,entrance1,9,12,12,6,,2,1,
7/27/2015,entrance2,10,20,12,13,1,3,,
7/27/2015,entrance3,11,35,17,10,2,2,1,
7/27/2015,entrance4,12,16,15,12,2,2,,
7/27/2015,gate2,32,,,,,,,2
7/27/2015,gate3,13,,,,,,,4
7/27/2015,gate4,14,,,,,,,6
7/27/2015,gate5,15,,,,,,,6
7/27/2015,gate6,33,,,,,,,2
7/27/2015,gate8,16,,,,,,,6
7/27/2015,general-gate1,17,48,27,19,3,1,,
7/27/2015,general-gate2,18,48,27,19,3,1,,
7/27/2015,general-gate3,19,4,2,2,,,,3
7/27/2015,general-gate4,20,34,21,17,,1,,
7/27/2015,general-gate5,21,24,19,13,2,,,3
7/27/2015,general-gate6,22,9,4,6,,,,
7/27/2015,general-gate7,23,54,32,23,,2,1,2
7/27/2015,ranger-base,24,,,,,,,6
7/27/2015,ranger-stop0,25,48,27,19,3,1,,
7/27/2015,ranger-stop1,35,,,,,,,2
7/27/2015,ranger-stop2,26,48,27,19,3,1,,
7/27/2015,ranger-stop3,27,,,,,,,4
7/27/2015,ranger-stop5,29,,,,,,,6
7/27/2015,ranger-stop6,30,,,,,,,6
7/28/2015,camping0,1,4,,3,,,,
7/28/2015,camping1,37,2,2,2,,,,
7/28/2015,camping2,2,5,6,6,,,,
7/28/2015,camping3,3,10,4,3,,,,
7/28/2015,camping4,31,12,2,5,,,,
7/28/2015,camping5,4,13,10,6,,,,
7/28/2015,camping6,5,13,4,3,,,,
7/28/2015,camping7,6,10,3,1,,,,
7/28/2015,camping8,7,14,4,4,,,,
7/28/2015,entrance0,8,12,9,13,2,2,,
7/28/2015,entrance1,9,21,6,9,1,1,1,
7/28/2015,entrance2,10,19,16,11,2,,1,
7/28/2015,entrance3,11,26,9,9,1,,,
7/28/2015,entrance4,12,27,11,7,2,,,
7/28/2015,gate3,13,,,,,,,2
7/28/2015,gate5,15,,,,,,,2
7/28/2015,gate6,33,,,,,,,2
7/28/2015,gate7,34,,,,,,,2
7/28/2015,gate8,16,,,,,,,2
7/28/2015,general-gate0,38,2,1,2,,,,
7/28/2015,general-gate1,17,51,22,18,2,,1,
7/28/2015,general-gate2,18,51,22,18,2,,1,
7/28/2015,general-gate3,19,1,1,1,,,,
7/28/2015,general-gate4,20,38,19,16,1,1,1,
7/28/2015,general-gate5,21,29,12,5,1,,,2
7/28/2015,general-gate6,22,10,3,1,,,,
7/28/2015,general-gate7,23,51,27,20,1,1,1,
7/28/2015,ranger-base,24,,,,,,,2
7/28/2015,ranger-stop0,25,51,22,18,2,,1,
7/28/2015,ranger-stop2,26,51,22,18,2,,1,
7/28/2015,ranger-stop3,27,,,,,,,2
7/28/2015,ranger-stop6,30,,,,,,,2
7/28/2015,ranger-stop7,36,,,,,,,2
7/29/2015,camping0,1,5,5,4,,,,
7/29/2015,camping1,37,1,,,,,,
7/29/2015,camping2,2,9,3,3,,,,
7/29/2015,camping3,3,9,5,2,,,,
7/29/2015,camping4,31,12,7,1,,,,
7/29/2015,camping5,4,8,11,5,,,,
7/29/2015,camping6,5,10,5,1,,,,2
7/29/2015,camping7,6,14,4,3,,,,
7/29/2015,camping8,7,17,2,3,,,,
7/29/2015,entrance0,8,21,8,2,4,2,2,
7/29/2015,entrance1,9,20,4,6,4,2,,
7/29/2015,entrance2,10,18,11,8,2,2,,
7/29/2015,entrance3,11,26,19,12,4,1,3,
7/29/2015,entrance4,12,33,14,5,4,2,,
7/29/2015,gate4,14,,,,,,,2
7/29/2015,gate5,15,,,,,,,4
7/29/2015,gate6,33,,,,,,,4
7/29/2015,gate7,34,,,,,,,2
7/29/2015,gate8,16,,,,,,,8
7/29/2015,general-gate0,38,1,,,,,,
7/29/2015,general-gate1,17,45,26,14,4,3,1,
7/29/2015,general-gate2,18,45,26,14,4,2,1,6
7/29/2015,general-gate3,19,2,,,,,,
7/29/2015,general-gate4,20,40,21,10,3,2,,
7/29/2015,general-gate5,21,34,18,8,3,1,1,6
7/29/2015,general-gate6,22,14,4,3,,,,
7/29/2015,general-gate7,23,53,31,16,4,2,,2
7/29/2015,ranger-base,24,,,,,,,8
7/29/2015,ranger-stop0,25,45,26,14,4,3,1,6
7/29/2015,ranger-stop2,26,45,26,14,4,3,1,2
7/29/2015,ranger-stop4,28,,,,,,,2
7/29/2015,ranger-stop5,29,,,,,,,2
7/29/2015,ranger-stop6,30,,,,,,,5
7/29/2015,ranger-stop7,36,,,,,,,2
7/30/2015,camping0,1,6,5,2,,,,
7/30/2015,camping1,37,2,,,,,,
7/30/2015,camping2,2,18,4,9,,,,
7/30/2015,camping3,3,13,6,4,,,,
7/30/2015,camping4,31,9,5,5,,,,
7/30/2015,camping5,4,11,10,7,,,,
7/30/2015,camping6,5,6,,8,,,,
7/30/2015,camping7,6,13,5,,,,,
7/30/2015,camping8,7,13,9,7,,,,1
7/30/2015,entrance0,8,27,11,17,6,3,1,
7/30/2015,entrance1,9,12,15,10,2,2,2,
7/30/2015,entrance2,10,24,10,5,1,,3,
7/30/2015,entrance3,11,26,17,17,1,,,
7/30/2015,entrance4,12,28,13,6,2,4,3,
7/30/2015,gate3,13,,,,,,,2
7/30/2015,gate4,14,,,,,,,2
7/30/2015,gate5,15,,,,,,,2
7/30/2015,gate8,16,,,,,,,2
7/30/2015,general-gate0,38,2,,,,,,
7/30/2015,general-gate1,17,48,29,20,3,3,3,
7/30/2015,general-gate2,18,48,29,20,3,4,3,
7/30/2015,general-gate3,19,3,2,,,,,1
7/30/2015,general-gate4,20,45,26,17,2,2,2,
7/30/2015,general-gate5,21,29,17,10,2,4,1,1
7/30/2015,general-gate6,22,13,5,,,,,
7/30/2015,general-gate7,23,61,36,29,2,2,2,
7/30/2015,ranger-base,24,,,,,,,2
7/30/2015,ranger-stop0,25,48,29,20,3,3,3,
7/30/2015,ranger-stop2,26,48,29,20,3,3,3,
7/30/2015,ranger-stop3,27,,,,,,,2
7/30/2015,ranger-stop5,29,,,,,,,2
7/30/2015,ranger-stop6,30,,,,,,,2
7/31/2015,camping0,1,12,6,2,,,,
7/31/2015,camping1,37,2,,,,,,
7/31/2015,camping2,2,17,2,5,,,,2
7/31/2015,camping3,3,12,8,5,,,,
7/31/2015,camping4,31,15,14,6,,,,
7/31/2015,camping5,4,22,11,8,,,,
7/31/2015,camping6,5,24,10,1,,,,
7/31/2015,camping7,6,16,7,6,,,,
7/31/2015,camping8,7,11,10,3,,,,1
7/31/2015,entrance0,8,25,15,9,2,2,1,
7/31/2015,entrance1,9,26,20,14,2,5,,
7/31/2015,entrance2,10,35,19,8,2,2,,
7/31/2015,entrance3,11,42,24,18,1,2,,
7/31/2015,entrance4,12,23,18,5,1,1,1,
7/31/2015,gate3,13,,,,,,,2
7/31/2015,gate4,14,,,,,,,2
7/31/2015,gate5,15,,,,,,,3
7/31/2015,gate6,33,,,,,,,1
7/31/2015,gate7,34,,,,,,,2
7/31/2015,gate8,16,,,,,,,6
7/31/2015,general-gate0,38,1,,,,,,
7/31/2015,general-gate1,17,67,46,19,3,3,1,3
7/31/2015,general-gate2,18,67,46,19,3,3,1,3
7/31/2015,general-gate3,19,3,3,1,,,,1
7/31/2015,general-gate4,20,58,34,12,2,3,,3
7/31/2015,general-gate5,21,41,28,10,1,1,1,4
7/31/2015,general-gate6,22,16,7,6,,,,
7/31/2015,general-gate7,23,84,47,26,2,5,,6
7/31/2015,ranger-base,24,,,,,,,6
7/31/2015,ranger-stop0,25,67,46,19,3,3,1,5
7/31/2015,ranger-stop2,26,67,46,19,3,3,1,4
7/31/2015,ranger-stop3,27,,,,,,,2
7/31/2015,ranger-stop4,28,,,,,,,4
7/31/2015,ranger-stop5,29,,,,,,,2
7/31/2015,ranger-stop6,30,,,,,,,3
7/31/2015,ranger-stop7,36,,,,,,,2
8/1/2015,camping0,1,2,11,2,,,,
8/1/2015,camping2,2,15,7,4,,,,
8/1/2015,camping3,3,10,4,1,,,,
8/1/2015,camping4,31,16,14,1,,,,
8/1/2015,camping5,4,16,9,6,,,,
8/1/2015,camping6,5,14,4,7,,,,
8/1/2015,camping7,6,7,2,2,,,,
8/1/2015,camping8,7,17,6,6,,,,2
8/1/2015,entrance0,8,24,6,7,3,2,,
8/1/2015,entrance1,9,23,14,2,1,2,2,
8/1/2015,entrance2,10,16,16,8,2,1,1,
8/1/2015,entrance3,11,29,19,10,4,4,1,
8/1/2015,entrance4,12,23,18,12,2,2,,
8/1/2015,gate3,13,,,,,,,4
8/1/2015,gate4,14,,,,,,,4
8/1/2015,gate5,15,,,,,,,4
8/1/2015,gate8,16,,,,,,,4
8/1/2015,general-gate1,17,53,32,19,4,3,1,
8/1/2015,general-gate2,18,53,32,18,4,3,1,
8/1/2015,general-gate3,19,3,2,3,,,,2
8/1/2015,general-gate4,20,44,26,11,1,1,1,
8/1/2015,general-gate5,21,31,18,15,2,2,,2
8/1/2015,general-gate6,22,7,2,2,,,,
8/1/2015,general-gate7,23,63,40,16,1,2,2,
8/1/2015,ranger-base,24,,,,,,,4
8/1/2015,ranger-stop0,25,53,32,19,4,3,1,
8/1/2015,ranger-stop2,26,53,32,19,4,3,1,
8/1/2015,ranger-stop3,27,,,,,,,4
8/1/2015,ranger-stop5,29,,,,,,,4
8/1/2015,ranger-stop6,30,,,,,,,4
8/2/2015,camping0,1,4,5,5,,,,
8/2/2015,camping2,2,10,4,4,,,,
8/2/2015,camping3,3,19,4,7,,,,
8/2/2015,camping4,31,20,9,3,,,,
8/2/2015,camping5,4,15,8,4,,,,
8/2/2015,camping6,5,8,1,4,,,,
8/2/2015,camping7,6,20,6,6,,,,
8/2/2015,camping8,7,21,11,,,,,1
8/2/2015,entrance0,8,21,6,10,5,2,,
8/2/2015,entrance1,9,29,8,6,4,2,,
8/2/2015,entrance2,10,29,11,10,5,1,2,
8/2/2015,entrance3,11,44,19,12,4,1,1,
8/2/2015,entrance4,12,19,14,9,2,,1,
8/2/2015,gate3,13,,,,,,,2
8/2/2015,gate4,14,,,,,,,2
8/2/2015,gate5,15,,,,,,,2
8/2/2015,gate8,16,,,,,,,2
8/2/2015,general-gate1,17,54,23,17,5,2,1,
8/2/2015,general-gate2,18,55,23,18,5,1,1,
8/2/2015,general-gate3,19,5,2,,,,,1
8/2/2015,general-gate4,20,40,18,13,4,2,,
8/2/2015,general-gate5,21,25,12,10,1,,,1
8/2/2015,general-gate6,22,20,6,6,,,,
8/2/2015,general-gate7,23,70,29,19,4,2,,
8/2/2015,ranger-base,24,,,,,,,2
8/2/2015,ranger-stop0,25,54,23,17,5,1,1,
8/2/2015,ranger-stop2,26,54,23,17,5,2,1,
8/2/2015,ranger-stop3,27,,,,,,,2
8/2/2015,ranger-stop5,29,,,,,,,2
8/2/2015,ranger-stop6,30,,,,,,,2
8/3/2015,camping0,1,9,3,3,,,,
8/3/2015,camping1,37,2,,,,,,
8/3/2015,camping2,2,12,5,1,,,,
8/3/2015,camping3,3,13,,5,,,,
8/3/2015,camping4,31,14,6,5,,,,
8/3/2015,camping5,4,11,6,5,,,,
8/3/2015,camping6,5,6,2,3,,,,
8/3/2015,camping7,6,15,4,1,,,,
8/3/2015,camping8,7,5,10,6,,,,
8/3/2015,entrance0,8,15,8,11,2,3,,
8/3/2015,entrance1,9,20,10,9,2,2,1,
8/3/2015,entrance2,10,24,10,10,4,1,,
8/3/2015,entrance3,11,27,12,7,,4,,
8/3/2015,entrance4,12,20,12,6,4,5,1,
8/3/2015,gate3,13,,,,,,,2
8/3/2015,gate5,15,,,,,,,2
8/3/2015,gate6,33,,,,,,,2
8/3/2015,gate7,34,,,,,,,2
8/3/2015,gate8,16,,,,,,,2
8/3/2015,general-gate0,38,2,,,,,,
8/3/2015,general-gate1,17,47,26,14,4,5,1,
8/3/2015,general-gate2,18,46,26,14,4,6,1,
8/3/2015,general-gate3,19,1,2,2,,,,
8/3/2015,general-gate4,20,41,20,15,2,1,1,
8/3/2015,general-gate5,21,25,16,7,2,5,1,2
8/3/2015,general-gate6,22,15,4,1,,,,
8/3/2015,general-gate7,23,60,26,19,2,2,1,
8/3/2015,ranger-base,24,,,,,,,2
8/3/2015,ranger-stop0,25,47,26,14,4,6,1,
8/3/2015,ranger-stop2,26,47,26,14,4,5,1,
8/3/2015,ranger-stop3,27,,,,,,,2
8/3/2015,ranger-stop6,30,,,,,,,2
8/3/2015,ranger-stop7,36,,,,,,,2
8/4/2015,camping0,1,8,1,,,,,4
8/4/2015,camping1,37,,,2,,,,
8/4/2015,camping2,2,11,3,1,,,,
8/4/2015,camping3,3,16,4,2,,,,
8/4/2015,camping4,31,3,5,6,,,,
8/4/2015,camping5,4,16,5,4,,,,
8/4/2015,camping6,5,11,5,5,,,,
8/4/2015,camping7,6,5,3,6,,,,
8/4/2015,camping8,7,10,4,7,,,,
8/4/2015,entrance0,8,20,12,5,5,1,,
8/4/2015,entrance1,9,12,9,7,2,3,,
8/4/2015,entrance2,10,13,13,7,1,4,,
8/4/2015,entrance3,11,25,11,11,3,2,,
8/4/2015,entrance4,12,26,11,7,1,2,,
8/4/2015,gate0,39,,,,,,,2
8/4/2015,gate1,40,,,,,,,2
8/4/2015,gate3,13,,,,2,,,2
8/4/2015,gate5,15,,,,2,,,1
8/4/2015,gate6,33,,,,2,,,1
